# LK8000 RUSSIAN MESSAGES - RUS_MSG.TXT
# MASTER UPDATED:  130215
#
# This file is loaded on startup and all messages are stored internally.
# If you are translating these messages, try to respect sizes.
# The first _@Mn_  are the indexes, and you cannot change them!
#
# Please note that ENG_MSG.TXT is the english master language for LK8000
# and it should always exist. Do not change ENG_MSG.TXT!
#
# All lines that are empty, or starting with a # , are ignored.
# DEVELOPERS ADDING NEW MESSAGES HERE SHOULD REQUEST A NUMBERING SLOT TO PAOLO

_@M1_ "Разл"
# customkeys zoom 
_@M1657_ "Масштаб +"
_@M1658_ "Масштаб -"
_@M1659_ "Масштаб крупнее 2х"
_@M1660_ "Масштаб мельче 2х"

# Active map indicator in map scale (with AZM, NAV1 etc.), 3 letters!
_@M1661_ "АКТ"

# Error message
_@M1662_ "ОШИБКА СИСТЕМЫ"
_@M1663_ "НЕХВАТКА ПАМЯТИ"

# Total energy configuration 
# Toggle is for customkey config
_@M1666_ "Лучший глайд"
_@M1667_ "ЛУЧШИЙ ГЛАЙД ВКЛЮЧЕН!"
_@M1668_ "ЛУЧШИЙ ГЛАЙД ВЫКЛЮЧЕН!"
_@M1669_ "Лучший глайд " 

# Header Thermal History keep short!
_@M1670_ "ПТК"
# average lift 
_@M1671_ "СрПод"
_@M1672_ "Поток Детали"
_@M1673_ "Срдн"

# Auto MC configuration
_@M1674_ "Aвто Mc "
# Menu buttons MacCready, keep very short! - F C E are the overlay indicators
#  
_@M1675_ "Финал"
_@M1676_ "Ф"
_@M1677_ "СрПод"
_@M1678_ "П"
_@M1679_ "Эквив"
_@M1680_ "Э"
_@M1681_ "Фин"
_@M1682_ "Птк"
_@M1683_ "Экв"
# Change 118 average climb with average thermal
_@M1684_ "Средний подъем (СП)"
# Change 148 with 1685
_@M1685_ "Оба (ФД+СП)"

# Optimized routes for paraglider
_@M1686_ "Оптимизация "
_@M1687_ "Пересчитать оптимизацию"

# Customkey name
_@M1688_ "Блок экрана"
_@M1689_ "Позиция"

# ORACLE
_@M1690_ "ПОЗИЦИЯ LK8000"
_@M1691_ "РАСЧЕТ ПОЗИЦИИ"
_@M1692_ "ПОЖАЛУЙСТА ЖДИТЕ..."

# Customkey
_@M1693_ "Изменить цвет местности +"

# Safety Altitude indicator on overlay
_@M1694_ "+ БЕЗОПАСНОСТЬ"

#infobox Logger status
_@M1695_ "Трек"
# max 3-4 chars!
_@M1696_ "авто"

# PG autozoom threshold on config page 23
_@M1697_ "Порог автомасштаба " 

#Multitarget bearing infobox
_@M1698_ "Многоцелевое направление"
_@M1699_ "МнцНапр"

# Logger status
_@M1700_ "ВКЛ"
_@M1701_ "нет!" 

# dialogs for The Oracle
_@M1702_ "ДЛЯ ПОЗИЦИИ ТРЕБУЕТСЯ ФИКСАЦИЯ GPS"
_@M1703_ "на Север"
_@M1704_ "на Северо-Восток"
_@M1705- "на Восток"
_@M1706_ "на Юго-Восток"
_@M1707_ "на Юг"
_@M1708_ "на Юго-Запад"
_@M1709_ "на Запад"
_@M1710_ "на Северо-Запад"
# 3km south-west of ..
_@M1711_ "от"
_@M1712_ "около"
_@M1713_ "над"
_@M1714_ "города"
# 2km South of the city
_@M1715_ "от города"
_@M1716_ "над городом"
# over the city and (lake)
_@M1717_ "and"
# 2km south of city , over (lake)
_@M1718_ "над"
_@M1719_ "около"
# grass airport, small airport
_@M1720_ "аэродром"
# outlanding field, not an airport/airfield
_@M1721_ "посадочное поле"
_@M1722_ "аэропорт"
_@M1723_ "около"
_@M1724_ "ВАША ПОЗИЦИЯ:"
_@M1725_ "ОЧЕНЬ ЖАЛЬ"
_@M1726_ "ВАША ПОЗИЦИЯ НЕИЗВЕСТНА!"
# 1727-1739 reserved for The Oracle
_@M1740_ "Анализ OLC"
_@M1741_ "**ВОССТАНОВИТЬ СТАНДАРТНЫЙ ПРОФИЛЬ**"  
# free space , to be used 1744-1760
_@M1742_ "ВНЗ:"
_@M1743_ "ВЫС:"
# this was the old V rough air. Leave a trailing space!
_@M1744_ "Макс. скорость "
# new startup profile buttons
_@M1745_ "САМОЛЕТ"
_@M1746_ "СИСТЕМА"
# new button caption on task overview dialog, appears only in PG/HG mode
_@M1747_ "Врем старта"
_@M1748_ "Летная книжка"
_@M1749_ "Файл не найден"
_@M1750_ "Пусто"
_@M1751_ "ПОДТВЕРДИТЬ ОЧИСТКУ ЛЕТНОЙ КНИЖКИ?"
_@M1752_ "ОЧИСТИТЬ ЛЕТНУЮ КНИЖКУ"
_@M1753_ "Список полетов"
_@M1754_ "Старт свободного полета"
_@M1755_ "Буксировка"
_@M1756_ "ПИЛОТ"
_@M1757_ "Сброс профилей LK8000"
_@M1758_ "Это сбросит все профиля к заводским установкам"
_@M1759_ "Выбрано в системе"

#
# These are new infoboxes:
_@M1761_ "Азимут к Альт 1"
_@M1762_ "Азимут к Альт 2"
_@M1763_ "Азимут к лучш Альт"
_@M1764_ "Расстояние к Альт 1"
_@M1765_ "Расстояние к Альт 2"
_@M1766_ "Расстояние к лучш Альт"
_@M1767_ "Макс. достигнутая высота"
_@M1768_ "ВЫС.мак"
_@M1769_ "Макс. набор высоты"
_@M1770_ "МаксНаб"
_@M1771_ "Скорость встречного ветра"
_@M1772_ "ВстрВет"
# Customkey
_@M1774_ "Изменить цвет местности -" 

# New AverEfficiency intervals
_@M1775_ "3 секунды"
_@M1776_ "5 секунд"
_@M1777_ "10 секунд"
_@M1778_ "45 секунд"

# New livetracker configuration
_@M1779_ "Интервал лога "
_@M1780_ "Логин"
_@M1781_ "Пароль"
_@M1782_ "Сервер"

# configuration SETUP save 
_@M1783_ "Профили ЛА"
_@M1784_ "Профили пилотов"
# page names
_@M1785_ "Конфигурация пилота"
_@M1786_ "Конфигурация ЛА"

# Page names in configuration
_@M1787_ "Мое меню"
_@M1788_ "Мое меню"

_@M1789_ "Удалить файл задачи"
_@M1790_ "Нет файла задачи для удаления"

# Customkey configuration item
_@M1791_ "Включение ручного режима"

# configuration PG/Hg specials
_@M1792_ "Быстрые жесты "

# Wind mode configuration, "External" (from external instrument)
_@M1793_ "Внешний"

# Safety takeoff alarm
_@M1794_ "Безопасн взлет "

# Replacing 120, 755 and 756
_@M1795_ "БАРО ВЫСОТА ДОСТУПНА"
_@M1796_ "ИСПОЛЬЗУЕТСЯ БАРО ВЫСОТА"

# Replacing 822
_@M1797_ "Вектор"

_@M1798_ "Точки вручн"
_@M1799_ "Останови движение!"

_@M1800_ "нет следа"
_@M1801_ "подъем"
_@M1802_ "подъем\снижение"
_@M1803_ "Head Up"
_@M1804_ "Head Right"
_@M1805_ "Линия+СледТчк"
_@M1806_ "Тень+СледТчк"
_@M1807_ "_Reserved 2"
_@M1808_ "Загрузка FLARMNET базы"

# Trip computer, Infobox title, max 6-7 chars
_@M1809_ "Движущ"
_@M1810_ "Стабил"
_@M1811_ "Полный"
_@M1812_ "Хроно"

# New virtual waypoints
_@M1813_ "FAI CLOSE"
_@M1814_ "FREEFLY"
# 1815 can be changed anytime, do not reuse!
_@M1815_ "UNUSED"
_@M1816_ "FAI closing point"
_@M1817_ "out and return closing point"

# profile button, keep short!
_@M1818_ "ПРИБОР"
# configuration SETUP save 
_@M1819_ "Профили прибора"
# page name
_@M1820_ "Конфигурация прибора"
# Bottom bar configuration button
_@M1821_ "АВТО"
_@M1822_ "Мультикарты"
// leave a space after Ack
_@M1823_ "Подтв аналогичных "

// Task buttons (keep SHORT text!)
_@M1824_ "Вставить как СТАРТ"
_@M1825_ "Вставить перед"
_@M1826_ "Заменить"
_@M1827_ "Добавить перед финишем"
_@M1828_ "Добавить после финиша"


############################################################
#                  - MENU MESSAGES - 
#
#             DO NOT REMOVE OR CHANGE \n  
#       it means New Line, for line splitting!!
#
############################################################

_@M2001_ "Масшт\nувелич"
_@M2002_ "Масшт\nуменьш"
_@M2003_ "Ближайш\nточки"
_@M2004_ "Панорама\n"
_@M2005_ "Полный\nэкран"
_@M2006_ "Экран\n1/3"
_@M2007_ "Экран\n2/3"
_@M2008_ "Экран\n3/3"
_@M2009_ "Масштаб"
_@M2010_ "Навигац\n1/3"
_@M2011_ "Отмена"
_@M2012_ "Назад"
_@M2013_ "Расчет\nзадачи"
_@M2014_ "Следующ\n"
_@M2015_ "Выбор\nточки"
_@M2016_ "Навигац\n2/3"
_@M2017_ "Изменить\nзадачу"
_@M2018_ "Очистить\nзадачу"
_@M2019_ "Рестарт\nзадачи"
_@M2020_ "Цель"
_@M2021_ "Код\nкоманды"
_@M2022_ "Навигац\n3/3"
_@M2023_ "Резерв"
_@M2024_ "Время\nстарта"
_@M2025_ "Выбрать\nцель"
_@M2026_ "Обознач"
_@M2027_ "Тополог"
_@M2028_ "Ландш"
_@M2029_ "Зоны ВП"
_@M2030_ "Глайд"
_@M2031_ "Поток"
_@M2032_ "Переход"
_@M2033_ "Финиш"
_@M2034_ "Авто"
_@M2035_ "Путь"
_@M2036_ "Инверт\nтекст"
_@M2037_ "Топо\nназад"
_@M2038_ "Ориент\nкарты"
_@M2039_ "Настр\n1/3"
_@M2040_ "Настр\n2/3"
_@M2041_ "Настр\n3/3"
_@M2042_ "Основные\nнастройки"
_@M2043_ "Настройки\nветра"
_@M2044_ "Акт карта"
_@M2045_ "Навиг по"
_@M2046_ "Настройки\nсистемы"
_@M2047_ "Удалить\nметки"
_@M2048_ "Трек"
_@M2049_ "Симуляц\nпо треку"
_@M2050_ "Трек\nNMEA"
_@M2051_ "Настройки"
_@M2052_ "Сброс\nвысоты"
_@M2053_ "Сброс\nпортов"
_@M2054_ "Профили"
_@M2055_ "Звук"
_@M2056_ "Инфо\n1/2"
_@M2057_ "Инфо\n2/2"
_@M2058_ "Позиция"
_@M2059_ "Ближайш\nточка"
_@M2060_ "Ближайш\nзоны"
_@M2061_ "Статус"
_@M2062_ "Анализ"
_@M2063_ "Блокнот"
_@M2064_ "Повтор\nсообщ"
_@M2065_ "ЯдроПот"
_@M2066_ "Навигац"
_@M2067_ "Инфо"
_@M2068_ "Настр"
_@M2069_ "Экран"
_@M2070_ "Ставить\nметку"
_@M2071_ "Расчет\nветра"
_@M2072_ "Установки\nэкрана"
_@M2073_ "Выход"
_@M2074_ "Меню\nсимул"
_@M2075_ "Поток"
_@M2076_ "Эквив"
_@M2077_ "Ручной"
_@M2078_ "Да"
_@M2079_ "Налож"
_@M2080_ "Тени"
_@M2081_ "Настройка\nкарты"
_@M2082_ "Панорама"
_@M2083_ "На\nсевер"
_@M2084_ "По\nтреку"
_@M2085_ "Повор\nсевер"
_@M2086_ "Повор\nцель"
_@M2087_ "Умный\nсевер"
_@M2088_ "ПЕРЕГР"
_@M2089_ "Низкий"
_@M2090_ "По умолч"
_@M2091_ "Средний"
_@M2092_ "Высокий"
_@M2093_ "ВКЛ"
_@M2094_ "ВЫКЛ"
_@M2095_ "Норма\nвсе вкл"
_@M2096_ "Св+Зв\nвсе выкл"
_@M2097_ "Св выкл\nЗв вкл"
_@M2098_ "Св вкл\nЗв выкл"
_@M2099_ "<< Лево"
_@M2100_ "Вверх"
_@M2101_ "Центр\nумолч"
_@M2102_ "Вниз"
_@M2103_ "Право >>"
_@M2104_ "F>\nФларм"
_@M2105_ "M>\nКоманда"
_@M2106_ "L>\nПоток"
_@M2107_ "T>\nЗадача"
_@M2108_ "В>\nЛуч Выс"
_@M2109_ "1>\nАльт 1"
_@M2110_ "2>\nАльт 2"
_@M2111_ "H>\nДом"
_@M2112_ "Скор"
_@M2113_ "Выс"
_@M2114_ "Поворот"
# better not to translate this TE button!
_@M2115_ "Лучш Гл"
_@M2116_ "Изменить\nместность"
# Auto MC thermal+final glide mode, keep max 7 chars!
_@M2117_ "Пт+Фн"
_@M2118_ "ЛетнаяКн"
_@M2119_ "ЛетнаяКн\nдетали"
_@M2120_ "Очистить\nкнижку"
_@M2121_ "ЛетнаяКн\nсписок"
_@M2122_ "Сохран\nпрофиль"

_@M2123_ "Поворот\nэкрана"
_@M2124_ "Режимы\nэкрана"
_@M2125_ "Настр\nЛА"
_@M2126_ "Сохран\nЛА"
_@M2127_ "Настр\nпилота"
_@M2128_ "Сохран\nпилота"
_@M2129_ "Настройки\nLK8000"
_@M2130_ "Настройки\nсистемы"
_@M2131_ "Мое\nменю"
_@M2132_ "Удалить\nАльт"

_@M2133_ "Позиция"

_@M2134_ "Приб A"
_@M2135_ "Приб B"
_@M2136_ "Вращайте C-Probe на 360° вокруг каждой из 3-х осей
\nпорядок и направление не имеют значения"

_@M2143_ "Установки прибора A"
_@M2144_ "Установки прибора B"


# Paraglider Waypoint Type
_@M2145_ "Вход"
_@M2146_ "Выход"
_@M2147_ "Выход/Вход"

_@M2148_ "Авто, вело и треккинг"

# Thermal Bar
_@M2149_ "в потоке"
_@M2150_ "в потоке и на переходе"

# New CustomKey labels for Custom Menu
_@M2200_ "----"
_@M2201_ "Меню"
_@M2202_ "Предыд\nстраница"
_@M2203_ "Вкл\nкарту"
_@M2204_ "Вкл\nпосадки"
_@M2205_ "Посадки"
_@M2206_ "Вкл\nобщий"
_@M2207_ "Общие"
_@M2208_ "Вкл\nтрафик"
_@M2209_ "Трафик"
_@M2210_ "Авто\nмасшт"
_@M2211_ "Звук\nварика"
_@M2212_ "Идти\nдомой"
_@M2213_ "Масшт\n20"
_@M2214_ "Прокрут\nцелей"
_@M2215_ "Использ\nБАРО"
_@M2216_ "Меню\nсимул"
_@M2217_ "Анализ\nВП"
_@M2218_ "Вкл\nВП"
_@M2219_ "Масшт\n+ +"
_@M2220_ "Масшт\n- -"
_@M2221_ "Обнов\nоптимиз"
_@M2222_ "Анализ\nOLC"
_@M2223_ "Цвет\nземли +"
_@M2224_ "Цвет\nземли -"
_@M2225_ "Фри\nФлай"
_@M2226_ "Вкл\nвручн"
_@M2227_ "Вкл розу\nветров"
_@M2228_ "FLARM\nрадар"
_@M2229_ "Сброс\nодометр"
_@M2230_ "Принуд\nпосадка"
_@M2231_ "АКТИВНО"
# 2232 unused but reserved for mmaps
_@M2232_ "abcd"
_@M2233_ "Наложения"
_@M2234_ "ТЕКСТ"
_@M2235_ "ГРАФ"
_@M2236_ "Сброс\nмаршр"
_@M2237_ "Вкл\nсонар"
_@M2238_ "Показать\nзадачу"
_@M2239_ "Показать\nFAI"
_@M2240_ "NoDraw\nзад&FAI"
_@M2241_ "Показать\nзад&FAI"
_@M2242_ "Сонар\nвкл"
_@M2243_ "Сонар\nвыкл"
_@M2244_ "Настр\nприбор"
_@M2245_ "Сохран\nприбор"

# MAX 2250! 
# (Reserved for custom menus up to 2300!)
# Note for developers: remember LKLanguage MAX_MESSAGE limit (2250)

