# LK8000 UKRAINIAN MESSAGES - UKR_MSG.TXT
# MASTER UPDATED:  150517
#
# This file is loaded on startup and all messages are stored internally.
# If you are translating these messages, try to respect sizes.
# The first _@Mn_  are the indexes, and you cannot change them!
#
# Please note that ENG_MSG.TXT is the english master language for LK8000
# and it should always exist. Do not change ENG_MSG.TXT!
#
# All lines that are empty, or starting with a # , are ignored.
# DEVELOPERS ADDING NEW MESSAGES HERE SHOULD REQUEST A NUMBERING SLOT TO PAOLO

@M1_ "Різн"
_@M1652_ "Аналіз ПП"
_@M1653_ "Інфо сторінка 2.4 ПП"

# Airspace details buttons
_@M1654_ "ВИБОР"
_@M1655_ "АНАЛІЗ"
_@M1656_ "*ВИБРАНЕ*"

# customkeys zoom 
_@M1657_ "Масштаб +"
_@M1658_ "Масштаб -"
_@M1659_ "Масштаб більше 2х"
_@M1660_ "Масштаб менше 2х"

# Active map indicator in map scale (with AZM, NAV1 etc.), 3 letters!
_@M1661_ "АКТ"

# Error message
_@M1662_ "ПОМИЛКА СИСТЕМИ"
_@M1663_ "НЕСТАЧА ПАМЯТІ"

# Total energy configuration 
# Toggle is for customkey config
_@M1666_ "Кращий глайд"
_@M1667_ "КращИЙ ГЛАЙД ВВІМКНЕНО!"
_@M1668_ "КращИЙ ГЛАЙД ВИМКНЕНО!"
_@M1669_ "Кращий глайд " 

# Header Thermal History keep short!
_@M1670_ "ПТК"
# average lift 
_@M1671_ "СрПід"
_@M1672_ "Потік Деталі"
_@M1673_ "Срдн"

# Auto MC configuration
_@M1674_ "Aвто Mc "
# Menu buttons MacCready, keep very short! - F C E are the overlay indicators
#  
_@M1675_ "Фінал"
_@M1676_ "Ф"
_@M1677_ "СрПід"
_@M1678_ "П"
_@M1679_ "Еквів"
_@M1680_ "Е"
_@M1681_ "Фін"
_@M1682_ "Птк"
_@M1683_ "Екв"
# Change 118 average climb with average thermal
_@M1684_ "Середній підйом (СП)"
# Change 148 with 1685
_@M1685_ "Обида (ФД+СП)"

# Optimized routes for paraglider
_@M1686_ "Оптимізація "
_@M1687_ "Перерахувати оптимізацію"

# Customkey name
_@M1688_ "Блок екрану"
_@M1689_ "Позиція"

# ORACLE
_@M1690_ "ПОЗИЦІЯ LK8000"
_@M1691_ "РОЗРАХУНОК ПОЗИЦІЇ"
_@M1692_ "БУДЬ-ЛАСКА,ЗАЖДІТЬ..."

# Customkey
_@M1693_ "Змінити колір місцевості +"

# Safety Altitude indicator on overlay
_@M1694_ "+ БЕЗПЕКА"

#infobox Logger status
_@M1695_ "Трек"
# max 3-4 chars!
_@M1696_ "авто"

# PG autozoom threshold on config page 23
_@M1697_ "Поріг автомасштабу " 

#Multitarget bearing infobox
_@M1698_ "Багатоцільовий напрямок"
_@M1699_ "БгцНапр"

# Logger status
_@M1700_ "ВКЛ"
_@M1701_ "НІ!" 

# dialogs for The Oracle
_@M1702_ "ДЛЯ ПОЗИЦІЇ ПОТРІБНА ФІКСАЦІЯ GPS"
_@M1703_ "на Північ"
_@M1704_ "на Північний-Схід"
_@M1705- "на Схід"
_@M1706_ "на Південний-Схід"
_@M1707_ "на Південь"
_@M1708_ "на Південний-Захід"
_@M1709_ "на Захід"
_@M1710_ "на Північний-Захід"
# 3km south-west of ..
_@M1711_ "від"
_@M1712_ "біля"
_@M1713_ "над"
_@M1714_ "міста"
# 2km South of the city
_@M1715_ "від міста"
_@M1716_ "над містом"
# over the city and (lake)
_@M1717_ "і"
# 2km south of city , over (lake)
_@M1718_ "над"
_@M1719_ "біля"
# grass airport, small airport
_@M1720_ "аеродром"
# outlanding field, not an airport/airfield
_@M1721_ "посадочне поле"
_@M1722_ "аеропорт"
_@M1723_ "біля"
_@M1724_ "ВАША ПОЗИЦІЯ:"
_@M1725_ "ДУЖЕ ШКОДА"
_@M1726_ "ВАША ПОЗИЦІЯ НЕВІДОМА!"
# 1727-1739 reserved for The Oracle
_@M1740_ "Аналіз OLC"
_@M1741_ "**ВІДНОВИТИ СТАНДАРТНИЙ ПРОФІЛЬ**"  
# free space , to be used 1744-1760
_@M1742_ "ВНЗ:"
_@M1743_ "ВИС:"
# this was the old V rough air. Leave a trailing space!
_@M1744_ "Макс. швидкість "
# new startup profile buttons
_@M1745_ "ЛІТАК"
_@M1746_ "СИСТЕМА"
# new button caption on task overview dialog, appears only in PG/HG mode
_@M1747_ "Час старту"
_@M1748_ "Льотна книжка"
_@M1749_ "Файл не знайдено"
_@M1750_ "Порожньо"
_@M1751_ "ПІДТВЕРДИТИ ОЧИСТКУ ЛЬОТНОЇ КНИЖКИ?"
_@M1752_ "ОЧИСТИТИ ЛЬОТНУ КНИЖКУ"
_@M1753_ "Список польотів"
_@M1754_ "Старт вільного польоту"
_@M1755_ "Буксировка"
_@M1756_ "ПІЛОТ"
_@M1757_ "Скидання профілів LK8000"
_@M1758_ "Це скине всі профілі до заводських налаштувань"
_@M1759_ "Вибрано в системі"

#
# These are new infoboxes:
_@M1761_ "Азимут до Альт 1"
_@M1762_ "Азимут до Альт 2"
_@M1763_ "Азимут до крщ Альт"
_@M1764_ "Відстань до Альт 1"
_@M1765_ "Відстань до Альт 2"
_@M1766_ "Відстань до кращ. Альт"
_@M1767_ "Макс. досягнута висота"
_@M1768_ "ВИС.мак"
_@M1769_ "Макс. набір висоти"
_@M1770_ "МаксНаб"
_@M1771_ "Швидкість зустрічного вітру"
_@M1772_ "ЗстрВіт"
# Customkey
_@M1774_ "Змінити колір місцевості -" 

# New AverEfficiency intervals
_@M1775_ "3 секунди"
_@M1776_ "5 секунд"
_@M1777_ "10 секунд"
_@M1778_ "45 секунд"

# New livetracker configuration
_@M1779_ "Інтервал логу "
_@M1780_ "Логін"
_@M1781_ "Пароль"
_@M1782_ "Сервер"

# configuration SETUP save 
_@M1783_ "Профілі ЛА"
_@M1784_ "Профілі пілотів"
# page names
_@M1785_ "Конфігурація пілота"
_@M1786_ "Конфігурація ЛА"

# Page names in configuration
_@M1787_ "Моє меню"
_@M1788_ "Моє меню"

_@M1789_ "Видалити файл задачі"
_@M1790_ "Нема файлу задачі для видалення"

# Customkey configuration item
_@M1791_ "Ввімкнення ручного режиму"

# configuration PG/Hg specials
_@M1792_ "Швидкі жести "

# Wind mode configuration, "External" (from external instrument)
_@M1793_ "Зовнішній"

# Safety takeoff alarm
_@M1794_ "Безпечн взліт "

# Replacing 120, 755 and 756
_@M1795_ "БАРО ВИСОТА ДОСТУПНА"
_@M1796_ "ВИКОРИСТОВУЄТЬСЯ БАРО ВИСОТА"

# Replacing 822
_@M1797_ "Вектор"

_@M1798_ "Точки вручн"
_@M1799_ "ЗУПИНИ РУХ!"

_@M1800_ "нема сліду"
_@M1801_ "підйом"
_@M1802_ "підйом\зниження"
_@M1803_ "Head Up"
_@M1804_ "Head Right"
_@M1805_ "Лінія+НастТчк"
_@M1806_ "Тінь+НастТчк"
_@M1807_ "_Reserved 2"
_@M1808_ "Завантаження FLARMNET бази"

# Trip computer, Infobox title, max 6-7 chars
_@M1809_ "Рухомі"
_@M1810_ "Стабіл"
_@M1811_ "Повний"
_@M1812_ "Хроно"

# New virtual waypoints
_@M1813_ "FAI CLOSE"
_@M1814_ "FREEFLY"
# 1815 can be changed anytime, do not reuse!
_@M1815_ "UNUSED"
_@M1816_ "FAI closing point"
_@M1817_ "out and return closing point"

# profile button, keep short!
_@M1818_ "ПРИБОР"
# configuration SETUP save 
_@M1819_ "Профілі прибору"
# page name
_@M1820_ "Конфігурація приладу"
# Bottom bar configuration button
_@M1821_ "АВТО"
_@M1822_ "Мультикарти"
// leave a space after Ack
_@M1823_ "Підтв аналогічних "

// Task buttons (keep SHORT text!)
_@M1824_ "Вставити як СТАРТ"
_@M1825_ "Вставити перед"
_@M1826_ "Замінити"
_@M1827_ "Добавити перед фінішем"
_@M1828_ "Добавити після фінішу"

# Gear warning alarm
_@M1829_ "Механізм попередж "
_@M1831_ "Вимкн"
_@M1832_ "Поруч з об'єктами"
_@M1833_ "Завжди"

_@M1870_ "Сонар ПП "

# Menu 12 font edit
_@M1880_ "Шляхові точки "
_@M1881_ "Топологія карти "
_@M1882_ "Ближні "
_@M1883_ "Нижня панель "
_@M1884_ "Вибраний тип "
_@M1885_ "Інформац у 2 рядки "
_@M1886_ "Вибрана ціль "
_@M1887_ "Вибрані значення "
_@M1888_ "Візуальний Глайд "

_@M1891_ "Вгорі зліва "
_@M1892_ "Вгорі центр "
_@M1893_ "Вгорі зправа "
_@M1894_ "Праворуч зверху"
_@M1895_ "Праворуч "
_@M1896_ "Зправа внизу "
_@M1897_ "Ліворуч зверху "
_@M1898_ "Ліворуч "
_@M1899_ "Зліва внизу "
_@M1900_ "Лівий кут "
_@M1901_ "ВИМКН ЖИВЛ"


############################################################
#                  - MENU MESSAGES - 
#
#             DO NOT REMOVE OR CHANGE \n  
#       it means New Line, for line splitting!!
#
############################################################

_@M2001_ "Масшт\nзбільш"
_@M2002_ "Масшт\nзменш"
_@M2003_ "Найблж\nточки"
_@M2004_ "Панорама\n"
_@M2005_ "Повний\nекран"
_@M2006_ "Екран\n1/3"
_@M2007_ "Екран\n2/3"
_@M2008_ "Екран\n3/3"
_@M2009_ "Масштаб"
_@M2010_ "Навігац\n1/3"
_@M2011_ "Відміна"
_@M2012_ "Назад"
_@M2013_ "Розрах\nзадачі"
_@M2014_ "Наступн\n"
_@M2015_ "Вибір\nточки"
_@M2016_ "Навігац\n2/3"
_@M2017_ "Змінити\nзадачу"
_@M2018_ "Очистити\nзадачу"
_@M2019_ "Рестарт\nзадачі"
_@M2020_ "Ціль"
_@M2021_ "Код\nкоманди"
_@M2022_ "Навігац\n3/3"
_@M2023_ "Резерв"
_@M2024_ "Час\nстарту"
_@M2025_ "Вибрати\nціль"
_@M2026_ "Позначк"
_@M2027_ "Тополог"
_@M2028_ "Ландш"
_@M2029_ "Зони ПП"
_@M2030_ "Глайд"
_@M2031_ "Потік"
_@M2032_ "Перехід"
_@M2033_ "Фініш"
_@M2034_ "Авто"
_@M2035_ "Шлях"
_@M2036_ "Інверт\nтекст"
_@M2037_ "Топо\nназад"
_@M2038_ "Орієнт\nкарти"
_@M2039_ "Конфіг\n1/3"
_@M2040_ "Конфіг\n2/3"
_@M2041_ "Конфіг\n3/3"
_@M2042_ "Основні\nналаштув."
_@M2043_ "Налаштув\nвітру"
_@M2044_ "Акт карта"
_@M2045_ "Навіг по"
_@M2046_ "Налаштув.\nсистеми"
_@M2047_ "Видалити\nмітки"
_@M2048_ "Трек"
_@M2049_ "Симуляц\nпо треку"
_@M2050_ "Трек\nNMEA"
_@M2051_ "Налаштування"
_@M2052_ "Скид\nвисоти"
_@M2053_ "Скид\nпортів"
_@M2054_ "Профілі"
_@M2055_ "Звук"
_@M2056_ "Інфо\n1/2"
_@M2057_ "Інфо\n2/2"
_@M2058_ "Позиція"
_@M2059_ "Найблжч\nточка"
_@M2060_ "Найблжч\nзони"
_@M2061_ "Статус"
_@M2062_ "Аналіз"
_@M2063_ "Блокнот"
_@M2064_ "Повтор\nповідом"
_@M2065_ "ЯдроПот"
_@M2066_ "Навігац"
_@M2067_ "Інфо"
_@M2068_ "Конфіг"
_@M2069_ "Екран"
_@M2070_ "Ставити\nмітку"
_@M2071_ "Розрахн\nвітру"
_@M2072_ "Налаштув\nекрану"
_@M2073_ "Вихід"
_@M2074_ "Меню\nсимул"
_@M2075_ "Потік"
_@M2076_ "Еквів"
_@M2077_ "Ручний"
_@M2078_ "Так"
_@M2079_ "Накладення"
_@M2080_ "Тіні"
_@M2081_ "Налаштув\nкарти"
_@M2082_ "Панорама"
_@M2083_ "На\nпівніч"
_@M2084_ "По\nтреку"
_@M2085_ "Повор\nпівніч"
_@M2086_ "Повор\nціль"
_@M2087_ "Розумна\nпівніч"
_@M2088_ "ПЕРЕГР"
_@M2089_ "Низький"
_@M2090_ "По замовч"
_@M2091_ "Середній"
_@M2092_ "Високий"
_@M2093_ "ВВІМ"
_@M2094_ "ВИМК"
_@M2095_ "Норма\nвсе вкл"
_@M2096_ "Св+Зв\nвсе викл"
_@M2097_ "Св викл\nЗв вкл"
_@M2098_ "Св вкл\nЗв викл"
_@M2099_ "<< Ліво"
_@M2100_ "Вверх"
_@M2101_ "Центр\nзамовч"
_@M2102_ "Вниз"
_@M2103_ "Право >>"
_@M2104_ "F>\nФларм"
_@M2105_ "M>\nКоманда"
_@M2106_ "L>\nПотік"
_@M2107_ "T>\nЗадача"
_@M2108_ "В>\nКрщ Вис"
_@M2109_ "1>\nАльт 1"
_@M2110_ "2>\nАльт 2"
_@M2111_ "H>\nДім"
_@M2112_ "Швдк"
_@M2113_ "Вис"
_@M2114_ "Поворот"
# better not to translate this TE button!
_@M2115_ "Кращ Гл"
_@M2116_ "Змінити\nмісцевість"
# Auto MC thermal+final glide mode, keep max 7 chars!
_@M2117_ "Пт+Фн"
_@M2118_ "ЛьотнаКн"
_@M2119_ "ЛьотнаКн\nдеталі"
_@M2120_ "Очистити\nкнижку"
_@M2121_ "ЛьотнаКн\nсписок"
_@M2122_ "Зберег\nпрофіль"

_@M2123_ "Поворот\nекрану"
_@M2124_ "Режими\nекрану"
_@M2125_ "Конфіг\nЛА"
_@M2126_ "Зберег\nЛА"
_@M2127_ "Конфіг\nпілота"
_@M2128_ "Зберег\nпілота"
_@M2129_ "Налаштув.\nLK8000"
_@M2130_ "Налаштув\nсистеми"
_@M2131_ "Моє\nменю"
_@M2132_ "Видалити\nАльт"

_@M2133_ "Позиція"

_@M2134_ "Прил A"
_@M2135_ "Прил B"
_@M2136_ "Крутіть C-Probe на 360° навколо кажної з 3-х осей
\nпорядок і напрямок не мають значення"

_@M2143_ "Установки прилада A"
_@M2144_ "Установки прилада B"


# Paraglider Waypoint Type
_@M2145_ "Вхід"
_@M2146_ "Вихід"
_@M2147_ "Вихід/Вхід"

_@M2148_ "Авто, вело и треккінг"

# Thermal Bar
_@M2149_ "в потоці"
_@M2150_ "в потоці і на переході"

# New CustomKey labels for Custom Menu
_@M2200_ "----"
_@M2201_ "Меню"
_@M2202_ "Поперд\nсторінка"
_@M2203_ "Вкл\nкарту"
_@M2204_ "Вкл\nпосадки"
_@M2205_ "Посадки"
_@M2206_ "Вкл\nзагальний"
_@M2207_ "Загальні"
_@M2208_ "Вкл\nтрафік"
_@M2209_ "Трафік"
_@M2210_ "Авто\nмасшт"
_@M2211_ "Звук\nваріка"
_@M2212_ "Іти\nдодому"
_@M2213_ "Масшт\n20"
_@M2214_ "Прокрут\nцілей"
_@M2215_ "Викор\nБАРО"
_@M2216_ "Меню\nсимул"
_@M2217_ "Аналіз\nПП"
_@M2218_ "Вкл\nПП"
_@M2219_ "Масшт\n+ +"
_@M2220_ "Масшт\n- -"
_@M2221_ "Обнов\nоптиміз"
_@M2222_ "Аналіз\nOLC"
_@M2223_ "Колір\nземлі +"
_@M2224_ "Колір\nземлі -"
_@M2225_ "Фрі\nФлай"
_@M2226_ "Вкл\nвручн"
_@M2227_ "Вкл розу\nвітрів"
_@M2228_ "FLARM\nрадар"
_@M2229_ "Скид\nодометр"
_@M2230_ "Примус\nпосадка"
_@M2231_ "АКТИВНО"
# 2232 unused but reserved for mmaps
_@M2232_ "abcd"
_@M2233_ "Накладення"
_@M2234_ "ТЕКСТ"
_@M2235_ "ГРАФ"
_@M2236_ "Скид\nмаршр"
_@M2237_ "Вкл\nсонар"
_@M2238_ "Показати\nзадачу"
_@M2239_ "Показати\nFAI"
_@M2240_ "NoDraw\nздч&FAI"
_@M2241_ "Показати\nздч&FAI"
_@M2242_ "Сонар\nвкл"
_@M2243_ "Сонар\nвикл"
_@M2244_ "Конфіг\nприлад"
_@M2245_ "Зберег\nприлад"

_@M2247_ "28/45 FAI поріг "
_@M2248_  "Ближні точки не знайдено!"

_@M2305_  "Зберегти час виконання"

# MAX 2250! 
# (Reserved for custom menus up to 2300!)
# Note for developers: remember LKLanguage MAX_MESSAGE limit (2250)

