# LK8000 ENGLISH MESSAGES - ENG_MSG.TXT
# MASTER UPDATED:  101216
#
# This file is loaded on startup and all messages are stored internally.
# If you are translating these messages, try to respect sizes.
# The first _@Mn_  are the indexes, and you cannot change them!
#
# Please note that ENG_MSG.TXT is the english master language for LK8000
# and it should always exist. Do not change ENG_MSG.TXT.
#
# All lines that are empty, or starting with a 
# , are ignored.

# DEVELOPERS ADDING MESSAGES HERE SHOULD REQUEST A NUMBERING SLOT TO PAOLO





_@M1_ " Razlika"
_@M1610_ "1.1Krstar. "
_@M1611_ "1.2Termal "
_@M1612_ "1.3Zadatak "
_@M1613_ "1.4Izborni "
_@M1614_ "1.5Takmič. "
_@M1615_ "1.6Okret "
_@M1616_ "2.1APT "
_@M1617_ "2.2LND "
_@M1618_ "2.3TPS "
_@M1619_ "2.4ASP "
_@M1620_ "3.1COMN "
_@M1621_ "3.2HIST "
_@M1622_ "3.3Termal "
_@M1623_ "1.7HSI "

# New airspace messages
_@M1630_ "Ivica visine "

# Navboxes
_@M1640_ "Current Flaps"
_@M1641_ "Flaps"

# Header nearest Airspaces
_@M1642_ "ASP"

_@M1643_ "ENABLED"

_@M1644_ "Home Alt.Arrival"
_@M1645_ "HomeArr"

# Menu Config 15, Alarms
_@M1646_ "15 Alarms"
_@M1647_ "Maks.Visina 1 "
_@M1648_ "Maks.Visina 2 "
_@M1649_ "Maks.Visina 3 "

# "ALARM x ALTITUDE 1234"   warning message
_@M1650_ "ALARM"
_@M1651_ "VISINA"

# customkey for airspace analysis
_@M1652_ "Analiza Vazduš.Prostora"
_@M1653_ "Isklјuči mapu<>Info stranica Vazd.Pros."

# Airspace details buttons
_@M1654_ "OZNAČITI"
_@M1655_ "ANALIZA"
_@M1656_ "*ODZNAČITI*"

# customkeys zoom 
_@M1657_ "Uvećaj"
_@M1658_ "Umanji"
_@M1659_ "Uvećaj JOŠ"
_@M1660_ "Umanji JOŠ"

# Active map indicator in map scale (with AZM, NAV1 etc.), 3 letters!
_@M1661_ "ACT"

# Error message
_@M1662_ "GREŠKA U SISTEMU"
_@M1663_ "NEMA VIŠE MEMORIJE"

# Total energy configuration 
# Toggle is for customkey config
_@M1666_ "Prebaci na UKUPNU ENRGIJU"
_@M1667_ "UKUPNA ENERGIJA SE KORISTI!"
_@M1668_ "UKUPNA ENERGIJA SE NE KORISTI"
_@M1669_ "Koristi ukupnu energ. "

# Header Thermal History keep short!
_@M1670_ "TER"
# average lift 
_@M1671_ "TerPros"
_@M1672_ "Detalјi termala"
_@M1673_ "Prose"

# Auto MC configuration
_@M1674_ "Autom Mc "
# Menu buttons MacCready, keep very short! - F C E are the overlay indicators
# Fin Th Equ  are fron button shortcuts, max 3 letters!
_@M1675_ "Final"
_@M1676_ "F"
_@M1677_ "ThAll"
_@M1678_ "T"
_@M1679_ "Equiv"
_@M1680_ "E"
_@M1681_ "Fin"
_@M1682_ "Th"
_@M1683_ "Eq"
# Change 118 average climb with average thermal
_@M1684_ "Average thermal (Th.All)"
# Change 148 with 1685
_@M1685_ "Both Final+Average"

# Optimized routes for paraglider
_@M1686_ "Optimized route "
_@M1687_ "Optimized route toggle"

# Customkey name
_@M1688_ "Ekran ZAKLjUČAN"
_@M1689_ "Oracle"

# ORACLE
_@M1690_ "THE LK8000 ORACLE"
_@M1691_ "THE ORACLE IS THINKING"
_@M1692_ "PLEASE WAIT..."

# Customkey
_@M1693_ "Change+ Terrain Colors"

# Safety Altitude indicator on overlay
_@M1694_ "+ SAFETY"

#infobox Logger status
_@M1695_ "Let.Dnv"
# max 3-4 chars!
_@M1696_ "autom"

# PG autozoom threshold on config page 23
_@M1697_ "Prag automatskog+ "

#Multitarget bearing infobox
_@M1698_ "Multitarget Bearing"
_@M1699_ "BrgMtg"

# Logger status
_@M1700_ "UKLj"
_@M1701_ "ISK"

# dialogs for The Oracle
_@M1702_ "ORACLE WANTS GPS FIX"
_@M1703_ "North"
_@M1704_ "North-East"
_@M1705_ "East"
_@M1706_ "South-East"
_@M1707_ "South"
_@M1708_ "South-West"
_@M1709_ "West"
_@M1710_ "North-West"
# 3km south-west of ..
_@M1711_ "of"
_@M1712_ "Near"
_@M1713_ "Over"
_@M1714_ "the city"
# 2km South of the city
_@M1715_ "of the city"
_@M1716_ "Over the city"
# over the city and (lake)
_@M1717_ "and"
# 2km south of city , over (lake)
_@M1718_ "over"
_@M1719_ "near to"
# grass airport, small airport
_@M1720_ "the airfield of"
# outlanding field, not an airport/airfield
_@M1721_ "the field of"
_@M1722_ "the airport of"
_@M1723_ "Near to"
_@M1724_ "YOUR POSITION:"
_@M1725_ "VERY SORRY"
_@M1726_ "YOUR POSITION IS UNKNOWN!"
# 1727-1739 reserved for The Oracle
_@M1740_ "OLC analysis"
_@M1741_ "FULL RESET LK8000 PROFILES!"
_@M1742_ "AGL:"
_@M1743_ "ELV:"
# this was the old V rough air. Leave a trailing space!
_@M1744_ "Maks.Brzina "
# new startup profile buttons
_@M1745_ "VAZDUHOPL."
_@M1746_ "TLK SISTEM"
# new button caption on task overview dialog, appears only in PG/HG mode
_@M1747_ "Vreme kapije"
_@M1748_ "Letač.Dnevnik"
_@M1749_ "Fajl nije pronađen"
_@M1750_ "Prazan"
_@M1751_ "POTVRDITE BRISANјE LETAČKOG DNEVNIKA?"
_@M1752_ "LETAČKI DNEVNIK POČINјE OD 0"
_@M1753_ "Lista letova"
_@M1754_ "Start slobodnog let-a"
_@M1755_ "Towing"
_@M1756_ "PILOT"
_@M1757_ "LK8000 RESET PROFILA"
_@M1758_ "OVO ĆE SVE PROGILE POSTAVITI NA FABRIČKE VREDNOSTI :("
_@M1759_ "SELEKTOVANO U SISTEM"

#
# These are new infoboxes:
_@M1761_ "Alternate1 bearing"
_@M1762_ "Alternate2 bearing"
_@M1763_ "BestAlternate bearing"
_@M1764_ "Alternate1 distance"
_@M1765_ "Alternate2 distance"
_@M1766_ "BestAlternate distance"
_@M1767_ "Max Altitude reached"
_@M1768_ "MaxAlt"
_@M1769_ "Max Height gained"
_@M1770_ "Hgain"
_@M1771_ "Head Wind speed"
_@M1772_ "HdWind"
# Customkey
_@M1774_ "Change- Terrain Colors"

# New AverEfficiency intervals
_@M1775_ "3 sekunde"
_@M1776_ "5 sekundi"
_@M1777_ "10 sekundi"
_@M1778_ "45 sekundi"

# New livetracker configuration
_@M1779_ "Live tracker log interval "
_@M1780_ "User"
_@M1781_ "Password"
_@M1782_ "LT Server"

# configuration SETUP save 
_@M1783_ "Profil vazduhoplova"
_@M1784_ "Profil pilot-a"
# page names
_@M1785_ "Podešavanje pilota"
_@M1786_ "Podešavanje vazduhoplova"

# Page names in configuration
_@M1787_ "Izborni meni"
_@M1788_ "Podešav. izbornog menija"

_@M1789_ "Brisanje fajla zadatka"
_@M1790_ "Nema fajla zadatka za brisanje"

# Customkey configuration item
_@M1791_ "Arm toggle advance"

# configuration PG/Hg specials
_@M1792_ "Quick gestures "

# Wind mode configuration, "External" (from external instrument)
_@M1793_ "Spolјni"

# Safety takeoff alarm
_@M1794_ "Bezbedno poletanje "

# Replacing 120, 755 and 756
_@M1795_ "VISINA PO PRITISKU JE DOSTUPNA"
_@M1796_ "KORISTI SE VISINA PO PRITISKU"

# Replacing 822
_@M1797_ "Vektor"

_@M1798_ "Arm TPs"
_@M1799_ "Prekid pomenjanja!"

_@M1800_ "bez traga"
_@M1801_ "trag termala"
_@M1802_ "trag termala/propadanja"
_@M1803_ "Head Up"
_@M1804_ "Head Right"
_@M1805_ "Line+NextWP"
_@M1806_ "Shade+NextWP"
_@M1807_ "_Reserved 2"
_@M1808_ "Loading FLARMNET database"

# Trip computer, Infobox title, max 6-7 chars
_@M1809_ "Pomeranje"
_@M1810_ "Mirno"
_@M1811_ "Ukupno"
_@M1812_ "Chrono"

# New virtual waypoints
_@M1813_ "FAI ZATVORENO"
_@M1814_ "SLOBODAN LET"
# 1815 can be changed anytime, do not reuse!
_@M1815_ "NE KORISTI SE"
_@M1816_ "FAI tačka zatvaranja"
_@M1817_ "izlaz i vrađanje tačke zatvaranja"

# profile button, keep short!
_@M1818_ "UREĐAJ"
# configuration SETUP save 
_@M1819_ "Profil Uređaja"
# page name
_@M1820_ "Podešavanje Uređaja"
# Bottom bar configuration button
_@M1821_ "Autom"
_@M1822_ "Podešav. Multimaps"
// leave a space after Ack
_@M1823_ "Group Ack "

// Task buttons (keep SHORT text!)
_@M1824_ "Ubaci kao START"
_@M1825_ "Ubaci posle"
_@M1826_ "Zameni"
_@M1827_ "Dodaj pre kraja"
_@M1828_ "Dodaj posle kraja"

# Gear warning alarm
_@M1829_ "Upozorenje opreme "
_@M1830_ "Visinsko upozorenje opreme"
_@M1831_ "ISKLj."
_@M1832_ "Near landables"
_@M1833_ "Uvek"
_@M1834_ "Proveri opremu !"

# oudie 2 bluetooth
_@M1835_ "Failed to pair device"
_@M1836_ "Lookup"
_@M1837_ "Pair"
_@M1838_ "Unpair"

_@M1840_ "BestAlternate:"
#infobox
_@M1841_ "Alternate1 radial"
_@M1842_ "Alternate2 radial"
_@M1843_ "Alternate1 dist.nm"
_@M1844_ "Alternate2 dist.nm"

# Reverse task
_@M1850_ "Reverse\nTask"
_@M1851_ "Reverse task"
_@M1852_ "Reverse task?"
_@M1853_ "TASK REVERSED"

# HSI
_@M1860_ "HSI"

_@M1870_ "Airspace Sonar "
_@M1871_ "Terminal"
_@M1872_ "NEMA PRIJEMA PODATAKA"

# Menu 12 font edit
_@M1880_ "Tačke mape "
_@M1881_ "Mapa topologije "
_@M1882_ "Najbliža "
_@M1883_ "DONјI panel "
_@M1884_ "Tip preklapanja "
_@M1885_ "Info u 2 linije "
_@M1886_ "Cilј preklapanja "
_@M1887_ "Vrednosti preklapanja "
_@M1888_ "VisualGlide "

_@M1891_ "Gornji levi "
_@M1892_ "Gornji centralni "
_@M1893_ "Gornji desni "
_@M1894_ "Desni vrh "
_@M1895_ "Desni centralni "
_@M1896_ "Desni donji "
_@M1897_ "Levi vrh "
_@M1898_ "Levi centralni "
_@M1899_ "Levi donji "
_@M1900_ "Levi ugao "
_@M1901_ "GAŠENјE"

############################################################
#                  - MENU MESSAGES - 
#
#             DO NOT REMOVE OR CHANGE \n  
#       it means New Line, for line splitting!!
#
############################################################

_@M2001_ "POVEĆANјE"
_@M2002_ "UMANјENјE"
_@M2003_ "Whats\nhere?"
_@M2004_ "Pan\n"
_@M2005_ "Pun\nEkran"
_@M2006_ "Ekran\n1/3"
_@M2007_ "Ekran\n2/3"
_@M2008_ "Ekran\n3/3"
_@M2009_ "Povećanje"
_@M2010_ "Zadatak\n1/3"
_@M2011_ "Prekini\nmeni"
_@M2012_ "Nazad"
_@M2013_ "DIGITR.\nZadatka"
_@M2014_ "Napredno\n"
_@M2015_ "Pogledaj\nTačku"
_@M2016_ "Zadatak\n2/3"
_@M2017_ "Promena\nZadatka"
_@M2018_ "Brisanje\nZadatka"
_@M2019_ "Reset.\nZadatka"
_@M2020_ "Cilј"
_@M2021_ "Timski\nKod"
_@M2022_ "Zadatak\n3/3"
_@M2023_ "Rezervisano"
_@M2024_ "Vreme\nKapije"
_@M2025_ "Višest.\nCilј"
_@M2026_ "Etiketa"
_@M2027_ "Topologija"
_@M2028_ "Teren"
_@M2029_ "Vaz.Pros."
_@M2030_ "VisualGld"
_@M2031_ "TERMAL"
_@M2032_ "JEDRENјE"
_@M2033_ "Final"
_@M2034_ "Auto"
_@M2035_ "Putanja"
_@M2036_ "Inverzni\nTekst"
_@M2037_ "Topol.\nNazad"
_@M2038_ "Orjentac.\nMape"
_@M2039_ "Podešav.\n1/3"
_@M2040_ "Podešav.\n2/3"
_@M2041_ "Podešav.\n3/3"
_@M2042_ "Osnovna\nPodešav."
_@M2043_ "Podešav.\nVETRA"
_@M2044_ "Aktivna Mapa"
_@M2045_ "Nav by"
#2046 UNUSED
_@M2046_ ""
_@M2047_ "Obriši\nMarker"
_@M2048_ "Let.Dnev."
_@M2049_ "Repriza\nLeta"
_@M2050_ "NMEA\nLogger"
_@M2051_ "Podešav."
_@M2052_ "0 za\nQFE"
_@M2053_ "Resetov.\nComms"
_@M2054_ "Profili"
_@M2055_ "Zvuci"
_@M2056_ "Info\n1/2"
_@M2057_ "Info\n2/2"
_@M2058_ "Oracle"
_@M2059_ "Najbliža\nTačka"
_@M2060_ "Najbliž.\nVazd.Prost."
_@M2061_ "Status"
_@M2062_ "Analiza"
_@M2063_ "BELEŠKE"
_@M2064_ "Ponavlј.\nPoruke"
_@M2065_ "Orbiter"
_@M2066_ "Takmiča.\nzadatak"
_@M2067_ "Info"
_@M2068_ "Podešav."
_@M2069_ "Ekran"
_@M2070_ "Upiši\nMarker"
_@M2071_ "TrueWind\nDIGITR."
_@M2072_ "Pregled\nEkran"
_@M2073_ "GAŠENјE"
_@M2074_ "SIMUL.\nMENI"
_@M2075_ "Termal"
_@M2076_ "Ekvivalent"
_@M2077_ "Ručno"
_@M2078_ "OK"
_@M2079_ "Prekidač"
_@M2080_ "Senčenje"
_@M2081_ "Podešav.\nMape"
_@M2082_ "PAN mod"
_@M2083_ "Sever\nGore"
_@M2084_ "Zapis\nGore"
_@M2085_ "Sever\nKruženje"
_@M2086_ "Cilј\nKruženje"
_@M2087_ "Pametni\nSever"
_@M2088_ "PON-POKRETANјE"
_@M2089_ "Najniži"
_@M2090_ "Podrazumevani"
_@M2091_ "Prosek"
_@M2092_ "Najviši"
_@M2093_ "UKLjU."
_@M2094_ "ISKLj."
_@M2095_ "Normlno\nSVE UKLjU."
_@M2096_ "Led+Buz\nSVE ISKLj."
_@M2097_ "Led ISKLj.\nBuz UKLjU."
_@M2098_ "Led ISKLj.\nBuz UKLjU."
_@M2099_ "<< Levo"
_@M2100_ "GORE"
_@M2101_ "Podrazum.\nCentar"
_@M2102_ "DOLE"
_@M2103_ "DESNO >>"
_@M2104_ "F>\nFlarm"
_@M2105_ "M>\nTim
_@M2106_ "L>\nTermal"
_@M2107_ "T>\nZadatak"
_@M2108_ "B>\nNajb.Vis."
_@M2109_ "1>\nAltern1"
_@M2110_ "2>\nAltern2"
_@M2111_ "H>\nKuća"
_@M2112_ "Brzina"
_@M2113_ "Visina"
_@M2114_ "Okret"
# better not to translate this TE button!
_@M2115_ "TEnergy"
_@M2116_ "Change\nTerrain"
# Auto MC thermal+final glide mode, keep max 7 chars!
_@M2117_ "Thr+Fin"
_@M2118_ "Letački\nDnevnik"
_@M2119_ "Detalјi\nLet.Dnev."
_@M2120_ "Stornir.\nLet.Dnev."
_@M2121_ "Lista\nLet.Dnevn"
_@M2122_ "Snimanje\nSistema"
_@M2123_ "Okretanje\nEkrana"
_@M2124_ "Modeli\nEkrana"
_@M2125_ "Podešav.\nVazduhop."
_@M2126_ "Snimanje\nVazduhop."
_@M2127_ "Podešav.\nPilota"
_@M2128_ "Snimanje\nPilota"
_@M2129_ "LK8000\nPodešav."
_@M2130_ "Podešav.\nSistema"
_@M2131_ "IZBORNI\nMENI"
_@M2132_ "Brisanje\nAltern."

_@M2133_ "Pozicija"

_@M2134_ "UređajA"
_@M2135_ "UređajB"
_@M2136_ "Rotate C-Probe 360° around it's 3 axis\nthe order and direction is not important"

_@M2143_ "Podešav. Uređ.A"
_@M2144_ "Podešav. Uređ.B"


# Paraglider Waypoint Type
_@M2145_ "Ulazak"
_@M2146_ "Izlaz"
_@M2147_ "Izlazak/Ulazak"

_@M2148_ "Auto, Bicikala & Pešačenje"

# Thermal Bar
_@M2149_ "u termalu"
_@M2150_ "u termalu i krstarenju"

_@M2151_ "T>\nTP Centar"
_@M2153_ "Zatvaranje startnog vremena"

_@M2154_ "IGC\nPošalјi"
_@M2155_ "Pošalјi"
_@M2156_ "IGC Pošalјi fajl"
_@M2157_ "Izaberi uređaj"

#BlueFlyVario
_@M2158_ "Output QNH"
_@M2159_ "Lift Threshold"
_@M2160_ "Lift Off Threshold"
_@M2161_ "Sink Threshold"
_@M2162_ "Sink Off Threshold"
_@M2163_ "Position Noise"
_@M2164_ "Lift Freq. Base"
_@M2165_ "Lift Freq. Increment"
_@M2166_ "Sink Freq. Base"
_@M2167_ "Sink Freq. Increment"
_@M2168_ "Volume"
_@M2169_ "Rate Multiplier"
_@M2170_ "Audio Connected"
_@M2171_ "Audio Disconnected"
_@M2172_ "Bluetooth Wait"
_@M2173_ "Output Mode"
_@M2174_ "Output Frequency"

_@M2175_ "Conical ESS"
_@M2176_ "Cone Slope"
_@M2177_ "Base Altitude"
_@M2178_ "Base Radius"
_@M2179_ "°"
_@M2180_ "°C"
_@M2181_ "°F"
_@M2182_ "«"
_@M2183_ "»"
_@M2184_ "‹"
_@M2185_ "›"
_@M2186_ "*"
_@M2187_ "Speed Opt."
_@M2188_ "Thermal Min"

_@M2189_ "Circle ESS"

# New CustomKey labels for Custom Menu
_@M2200_ "----"
_@M2201_ "Meni"
_@M2202_ "Strelica\nNazad"
_@M2203_ "Isklјuči\nMapu"
_@M2204_ "Isklјuči\nTačkeZe"
_@M2205_ "Landab\nles"
_@M2206_ "Isklјuči\nCommon"
_@M2207_ "Commons"
_@M2208_ "Isklјuči\nSaobraćaj"
_@M2209_ "Saobraćaj"
_@M2210_ "Autom.\nPovećanje"
_@M2211_ "Zvuk\nTermala"
_@M2212_ "IDI\nKUĆI"
_@M2213_ "Umanji\n20"
_@M2214_ "Višestr.\nCilј+"
_@M2215_ "Koristi\nVisBaro"
_@M2216_ "SIMUL.\nMENI"
_@M2217_ "Vaz.Pros.\nAnaliza"
_@M2218_ "Isklјuči\nVaz.Pros."
_@M2219_ "Uvećanje\n++"
_@M2220_ "Smanjenje\no++"
_@M2221_ "Optimiz.\nRute"
_@M2222_ "OLC\nAnaliza"
_@M2223_ "Boja+\nterena"
_@M2224_ "Boja-\nterena"
_@M2225_ "Slobodan\nLet"
_@M2226_ "Arm\nIsklјuči"
_@M2227_ "Isklјuči\nWndRose"
_@M2228_ "FLARM\nRadar"
_@M2229_ "Resetov.\nPređ.Put"
_@M2230_ "Nasilno\nSletanje"
_@M2231_ "AKTIVNO"
_@M2232_ "abcd"
_@M2233_ "Overlay"
_@M2234_ "TEXT"
_@M2235_ "GAUGES"
_@M2236_ "Resetov.\nIzleta"
_@M2237_ "Sonar\nIsklјuči"
_@M2238_ "Nacrtaj\nZadatak"
_@M2239_ "Nacrtaj\nFAI"
_@M2240_ "Bez Crtanj.\nZad.FAI"
_@M2241_ "Crtaj\nZad.FAI"
_@M2242_ "Sonar\nUKLjU."
_@M2243_ "Sonar\nISKLjU."
_@M2244_ "Podešav.\nUređaja"
_@M2245_ "Snimanje\nUređaja"
_@M2246_ "Reset\nPogleda"
_@M2247_ "28/45 FAI threshold "
_@M2248_  "Nisu pronađeni OBJEKTI u blizini!"

# DO NOT TRANSLATE 2249
_@M2249_  "DspMode"

_@M2250_ "Spolјni Zvuk"
_@M2251_  "Optimalni\nmod"


# MAX 2500! 
# (Reserved for custom menus up to 2300!)
# Note for developers: remember LKLanguage MAX_MESSAGE limit (2500)

# S = Start Task point
_@M2301  "S" 
# T = Task Point
_@M2302_  "T"  
# F = Finish point
_@M2303_  "F" 
_@M2304_  "UPOZOREZE OPREME ISKLjUČENO!" 
_@M2305_  "Snimanje - uživo"

_@M2306_  "Podešav.\nRadio sta."
_@M2307_  "Podeš.Radio stanice"
_@M2308_  "Frekfrencija"
_@M2309_  "RADIO"
_@M2310_  "JAČ"
_@M2311_  "Sqw"

# New infoboxes
_@M2312_ "Maksim. brzina efikasnosti"
_@M2313_ "SpMe"
_@M2314_ "Cirlj zahtev. efikasnost"
_@M2315_ "E.Tar"

_@M2316_ "Sinbol vazduhop."
_@M2317_ "Trougao"
_@M2318_ "Paraglajder"
_@M2319_ "Zmaj"
_@M2320_ "Velika jedril."
_@M2321_ "Vazduhoplov"
_@M2322_ "UKLJ. Radara"

_@M2323_ "Visina QNE"
_@M2324_ "QNE"
_@M2325_ "Mala jedril."
_@M2326_ "Gem"
_@M2327_ "Bitmap"

_@M2328_ "Instal LKMAPS"
_@M2329_ "Otvaranje LKMAPS"

_@M2330_ "Orjentacija ekrana "
_@M2331_ "Crna jedril."
_@M2332_ "Velika crna jedril."

_@M2333_ "Mod praćenja "
_@M2334_ "Samo u letu (podr. vred.)"
_@M2335_ "trajno"
