# LK8000 CHINESE MESSAGES - CHN_MSG.TXT
# MASTER UPDATED:  191010 mountainhare山岭野兔(wx9019258QQ)_翻译
#
# 该文件在启动时加载，所有消息都存储在内部。
# 如果要翻译这些消息，请尝试遵守尺寸。
# 首先_ @ Mn_是索引，您不能更改它们！
#
# 请注意，ENG_MSG.TXT是LK8000的英语主要语言
# 它应该永远存在。 请勿更改ENG_MSG.TXT！
#
# 注意>令牌的最大数量在LKLanguage中定义为MAX_MESSAGES
#
# 如果您以开发人员的身份添加消息，请不要回收号码，因为翻译会假设
# 不存在的令牌应替换为英文。
# 但是，如果翻译了旧令牌，它仍然会像那样出现，这是错误的！
#
# 所有空行或以＃开头的行都将被忽略。
# 开发人员必须在GITHUB上要求添加新消息的编号槽

_@M1_ " 相对值"
_@M2022_ "导航\n3/3"
_@M2023_ "保留"
_@M2024_ "时间\n门"
_@M2025_ "多\n目标"
_@M2026_ "标签"
_@M2027_ "拓扑地图"
_@M2028_ "地形"
_@M2029_ "空域"
_@M2030_ "可视滑翔"
_@M2031_ "热气流"
_@M2032_ "巡航"
_@M2033_ "极致"
_@M2034_ "自动"
_@M2035_ "轨迹"
_@M2036_ "颠倒\n文本"
_@M2037_ "拓扑\n返回"
_@M2038_ "地图\n取向"
_@M2039_ "配置\n1/3"
_@M2040_ "配置\n2/3"
_@M2041_ "配置\n3/3"
_@M2042_ "设置\n基本"
_@M2043_ "设置\n风况"
_@M2044_ "活动地图"
_@M2045_ "导航by"
#2046 UNUSED
_@M2046_ ""
_@M2047_ "清除\n标记"
_@M2048_ "记录器"
_@M2049_ "记录器\n回放"
_@M2050_ "NMEA\n记录器"
_@M2051_ "设置"
_@M2052_ "零\nQFE"
_@M2053_ "重设\n端口"
_@M2054_ "配置文件"
_@M2055_ "声音"
_@M2056_ "信息\n1/2"
_@M2057_ "信息\n2/2"
_@M2058_ "神算"
_@M2059_ "最近\n航点"
_@M2060_ "最近\n空域"
_@M2061_ "状态"
_@M2062_ "分析"
_@M2063_ "记事本"
_@M2064_ "信息\n重复"
_@M2065_ "轨道器"
_@M2066_ "导航"
_@M2067_ "信息"
_@M2068_ "配置"
_@M2069_ "显示"
_@M2070_ "定位\n标记"
_@M2071_ "真风\n计算"
_@M2072_ "屏幕\n查看"
_@M2073_ "退出"
_@M2074_ "模拟\n菜单"
_@M2075_ "热气流"
_@M2076_ "等于"
_@M2077_ "手动"
_@M2078_ "好"
_@M2079_ "覆盖"
_@M2080_ "底纹"
_@M2081_ "设置\n地图"
_@M2082_ "平移"
_@M2083_ "北方\n朝上"
_@M2084_ "航向\n朝上"
_@M2085_ "北方\n圆形"
_@M2086_ "目标\n圆形"
_@M2087_ "北方\n智能"
_@M2088_ "重启"
_@M2089_ "最低"
_@M2090_ "默认"
_@M2091_ "平均"
_@M2092_ "最高"
_@M2093_ "开"
_@M2094_ "关"
_@M2095_ "普通\n全开"
_@M2096_ "Led蜂鸣\n全关"
_@M2097_ "Led关\n蜂鸣开"
_@M2098_ "Led开\n蜂鸣关"
_@M2099_ "<< 左"
_@M2100_ "上"
_@M2101_ "中心\n默认"
_@M2102_ "下"
_@M2103_ "右 >>"
_@M2104_ "F>\nFlarm"
_@M2105_ "M>\n团队"
_@M2106_ "L>\n热气流"
_@M2107_ "T>\n任务"
_@M2108_ "B>\n最佳海拔"
_@M2109_ "1>\n备用1"
_@M2110_ "2>\n备用2"
_@M2111_ "H>\n家"
_@M2112_ "速度"
_@M2113_ "海拔"
_@M2114_ "旋转"
# better not to translate this TE button!
_@M2115_ "总能量"
_@M2116_ "改变\n地形"
# Auto MC thermal+final glide mode, keep max 7 chars!
_@M2117_ "热气流\n最佳滑"
_@M2118_ "日志簿"
_@M2119_ "日志簿\n细节"
_@M2120_ "重设\n日志"
_@M2121_ "日志簿\n清单"
_@M2122_ "系统\n保存"
_@M2123_ "旋转\n屏幕"
_@M2124_ "屏幕\n模式"
_@M2125_ "飞机\n设置"
_@M2126_ "飞机\n保存"
_@M2127_ "飞行员\n设置"
_@M2128_ "飞行员\n保存"
_@M2129_ "LK8000\n设置"
_@M2130_ "系统\n设置"
_@M2131_ "定制\n菜单"
_@M2132_ "清除\n备用"

_@M2133_ "位置"

_@M2134_ "设备A"
_@M2135_ "设备B"
_@M2136_ "绕3轴旋转C-探针360°\n顺序和方向并不重要"

_@M2143_ "设备A配置"
_@M2144_ "设备B配置"


# 滑翔伞 Waypoint Type
_@M2145_ "入口"
_@M2146_ "退出"
_@M2147_ "退出/入口"

_@M2148_ "汽车，自行车与徒步旅行"

# Thermal Bar
_@M2149_ "热气流中"
_@M2150_ "在热流中巡航"

_@M2151_ "T>\nTP中心"
_@M2153_ "开始关闭时间 "

_@M2154_ "IGC\n发送文件"
_@M2155_ "发送"
_@M2156_ "发送IGC文件"
_@M2157_ "选择设备"

#BlueFlyVario
_@M2158_ "输出QNH"
_@M2159_ "提升阈值"
_@M2160_ "提升极限阈值"
_@M2161_ "下沉阈值"
_@M2162_ "下沉极限阈值"
_@M2163_ "位置噪音"
_@M2164_ "提升频率.基础"
_@M2165_ "提升频率. 增量"
_@M2166_ "下沉频率. 基础"
_@M2167_ "下沉频率. 增量"
_@M2168_ "音量"
_@M2169_ "比率乘数"
_@M2170_ "声音已连接"
_@M2171_ "断开声音连接"
_@M2172_ "蓝牙等待"
_@M2173_ "输出模式"
_@M2174_ "输出频率"

_@M2175_ "锥形ESS"
_@M2176_ "圆锥坡度"
_@M2177_ "基本海拔"
_@M2178_ "基础半径"
_@M2179_ "°"
_@M2180_ "°C"
_@M2181_ "°F"
_@M2182_ "«"
_@M2183_ "»"
_@M2184_ "‹"
_@M2185_ "›"
_@M2186_ "*"
_@M2187_ "速度选择"
_@M2188_ "热气流最小值"

_@M2189_ "圆形ESS"

_@M2190_ "到半径的下一个距离 "
_@M2191_ "辐射距离"

# New CustomKey labels for Custom Menu
_@M2200_ "----"
_@M2201_ "菜单"
_@M2202_ "页面\n返回"
_@M2203_ "切换\n地图"
_@M2204_ "切换\n陆地"
_@M2205_ "陆地\n  "
_@M2206_ "切换\n公地"
_@M2207_ "公地"
_@M2208_ "切换\n交通"
_@M2209_ "交通"
_@M2210_ "自动\n缩放"
_@M2211_ "热气流\n声音"
_@M2212_ "转到\n家"
_@M2213_ "缩放\n缩小20"
_@M2214_ "多目标\n目标+"
_@M2215_ "使用\nHBAR"
_@M2216_ "模拟\n菜单"
_@M2217_ "空域\n分析"
_@M2218_ "切换\n空域"
_@M2219_ "缩放\n放大++"
_@M2220_ "缩放\n缩小++"
_@M2221_ "道路\n选项"
_@M2222_ "OLC\n分析"
_@M2223_ "颜色+\n地形"
_@M2224_ "颜色-\n地形"
_@M2225_ "自由\n飞行"
_@M2226_ "Arm\n切换"
_@M2227_ "切换\n风玫瑰"
_@M2228_ "FLARM\n雷达"
_@M2229_ "重设\n里程表"
_@M2230_ "强行\n着陆"
_@M2231_ "活动"
_@M2232_ "abcd"
_@M2233_ "覆盖"
_@M2234_ "文本"
_@M2235_ "标准"
_@M2236_ "重设\n行程"
_@M2237_ "声纳\n切换"
_@M2238_ "显示\n任务"
_@M2239_ "显示\nFAI"
_@M2240_ "不显\nFAI任务"
_@M2241_ "显示\nFAI任务"
_@M2242_ "声纳\n开"
_@M2243_ "声纳\n关"
_@M2244_ "设备\n设置"
_@M2245_ "设备\n保存"
_@M2246_ "重置\n视图"
_@M2247_ "28/45 FAI阈值 "
_@M2248_  "找不到附近标志物！"

# DO NOT TRANSLATE 2249
_@M2249_  "Dsp模式"

_@M2250_ "外置扬声器"
_@M2251_  "优化\n模式"


# MAX 2500! 
# (Reserved for custom menus up to 2300!)
# Note for developers: remember LKLanguage MAX_MESSAGE limit (2500)

# S = 起点
_@M2301  "S" 
# T = 任务点
_@M2302_  "T"  
# F = 终点
_@M2303_  "F" 
_@M2304_  "设备警告现已停用!" 
_@M2305_  "保存运行时间 "

_@M2306_  "设置\nRadio"
_@M2307_  "电台设置"
_@M2308_  "频率"
_@M2309_  "电台"
_@M2310_  "音量"
_@M2311_  "Sqw"

# New infoboxes
_@M2312_ "最高效率的速度"
_@M2313_ "SpMe"
_@M2314_ "目标要求. 效率"
_@M2315_ "E.Tar"

_@M2316_ "飞机图标"
_@M2317_ "三角"
_@M2318_ "滑翔伞"
_@M2319_ "悬挂式滑翔机"
_@M2320_ "大滑翔机"
_@M2321_ "飞机"
_@M2322_ "雷达允许"

_@M2323_ "QNE高度"
_@M2324_ "QNE"
_@M2325_ "小滑翔机"
_@M2326_ "Gem"
_@M2327_ "位图"

_@M2328_ "安装LKMAPS"
_@M2329_ "打开LKMAPS"

_@M2330_ "屏幕方向 "
_@M2331_ "黑色滑翔机"
_@M2332_ "黑色大滑翔机"

_@M2333_ "跟踪模式 "
_@M2334_ "仅在飞行中（默认）"
_@M2335_ "永久"

_@M2336_ "ICAO代码"
_@M2337_ "空域\n上方"

_@M2338_ "空域文件"   #_@M63_ 
_@M2339_ "空域文件"   #_@M64_   
_@M2340_ "航路点文件"   #_@M806_
_@M2341_ "航路点文件"    #_@M807_
_@M2342_ "文件"             #_@M1227_ 
_@M2343_ "包含航路点和空域"
_@M2344_ "排除航路点和空域" 
_@M2345_ "和" 
_@M2346_ "相同" 
_@M2347_ "空域排除在外！"
_@M2348_ "外部地形"

_@M2349_ "向上瞄准"


# Multimap symbols
_@M2350_ "M"
_@M2351_ "①"
_@M2352_ "②"
_@M2353_ "③"
_@M2354_ "④"
_@M2355_ "⑤"
_@M2356_ "⑥"
_@M2357_ "⑦"
_@M2358_ "⑧"
_@M2359_ "⑨"
_@M2360_ "⑩"

# waypoint symbols
_@M2361_ "◎"   # waypoint
_@M2362_ "✈"   # airfield
_@M2363_ "◠"   # mountain pass
_@M2364_ "▴"   # mountain top
_@M2365_ "☨"   # antenna
_@M2366_ "⬡"  # VOR
_@M2367_ "✺"   # NDB
_@M2368_ "⛃"  # cooltower
_@M2369_ "≊"  # dam
_@M2370_ "⋒"  # tunel
_@M2371_ "≍"  #bridge
_@M2372_ "⚡"  # powerplant
_@M2373_ "♜"  # castle
_@M2374_ "⨯"  # intersection
_@M2375_ "✈"  # traffic
_@M2376_ "♨"  # thermal
_@M2377_ "⚑"  # Marker
_@M2378_ "✈"  # all others

# other Multiselect symbols
_@M2380_ "⚑"  # Team
_@M2381_ "♕"  # Oracle
_@M2382_ "■"  # ghost
_@M2383_ "●"  # zombie
_@M2384_ "✈"  # traffic

_@M2385_ "Map Symbols"
_@M2386_ "UTF8" # no need to translate 
_@M2387_ "GND"  # instead of SFC, no need to translate

_@M2388_ "绘制XC\n关"
_@M2389_ "绘制XC\n开"
_@M2390_ "切换绘制XC"


_@M2391_ "地球模型"
_@M2392_ "错误：端口未打开！"


_@M2393_ "设备C配置"
_@M2394_ "设备D配置"
_@M2395_ "设备E配置"
_@M2396_ "设备F配置"
_@M2397_ "Flarm配置"
_@M2398_ "IGC下载"
_@M2399_ "重启"
_@M2400_ "下载中"
_@M2401_ "找不到FLARM设备！\n（或正在进行重置）"
_@M2402_ "中止下载"
_@M2403_ "重启FLARM"
_@M2404_ "下载"
_@M2405_ "自身FLARM Id:"

		 
_@M2406_ "IGC文件下载完成！"
_@M2407_ "错误：接收超时！"
_@M2408_ "错误：CRC校验和失败！"
_@M2409_ "错误：文件名无效！"
_@M2410_ "错误：无法打开文件！"
_@M2411_ "错误：通讯超时！"
_@M2412_ "错误：未知"
_@M2413_ "FLARM需要重新启动才能正常运行\n现在重新启动吗？"
_@M2414_ "Conf."
_@M2415_ "IGC下载已中止！"
_@M2416_ "文件已经存在\n仍要下载？"
_@M2417_ "中止下载？"
_@M2418_ "飞行时此选项被锁定！"

_@M2419_ "侧轨MM1"
_@M2420_ "侧靶MM2"
_@M2421_ "侧面空域MM3"
_@M2422_ "视觉滑翔MM4"
_@M2423_ "Flarm雷达MM5"

_@M2424_ "最大自动缩放等级"

_@M2425_ "绘制FAI助手"
_@M2426_ "绘制XC三角形"
_@M2427_ "任务经过时间" 
_@M2428_ "任务时间"

_@M2429_ "路线"
_@M2430_ "目标"
_@M2431_ "悠悠"
_@M2432_ "三角形"
_@M2433_ "3pt"
_@M2434_ "4pt"
_@M2435_ "5pt"
_@M2436_ "6pt"
_@M2437_ "多点"



_@M2447_ "MC"
_@M2448_ "BAL"
_@M2449_ "BUGS"
_@M2450_ "飞速开关"
_@M2451_ "风速向"

_@M2452_ "进"
_@M2453_ "出"
_@M2454_ "进&出"

_@M2455_ "气压"
_@M2456_ "速度"
_@M2457_ "变速"
_@M2458_ "目标"

_@M2459_ "电台"
_@M2460_ "交通"
_@M2461_ "陀螺仪"
_@M2462_ "G力"
_@M2463_ "OAT"
_@M2464_ "电池1"
_@M2465_ "电池2"
_@M2466_ "极性"

_@M2467_ "值"
_@M2468_ "方向"

_@M2469_ "外部目标"
