# LK8000 ENGLISH MESSAGES - ENG_MSG.TXT
# MASTER UPDATED:  110102
#
# This file is loaded on startup and all messages are stored internally.
# If you are translating these messages, try to respect sizes.
# The first _@Mn_  are the indexes, and you cannot change them!
#
# Please note that ENG_MSG.TXT is the english master language for LK8000
# and it should always exist. Do not change ENG_MSG.TXT!
#
# All lines that are empty, or starting with a # , are ignored.
# DEVELOPERS ADDING NEW MESSAGES HERE SHOULD REQUEST A NUMBERING SLOT TO PAOLO

_@M1_ " Διαφορά"
_@M1300_ "Dist"
_@M1301_ "Dir"
_@M1302_ "rEff"
_@M1303_ "AltA"
_@M1304_ "Distance"
_@M1305_ "Direction"
_@M1306_ "ReqEff"
_@M1307_ "AltArr"
_@M1308_ "Arriv"
_@M1309_ "COMN"
_@M1310_ "HIST"
_@M1311_ "LND"
_@M1312_ "LNDB"
_@M1313_ "APT"
_@M1314_ "APTS"
_@M1315_ "TPS"
# ASP for nearest airspaces is M1642

# Reserved waypoint names, comments
_@M1316_ "ΑΠΟΓΕΙΩΣΗ"
_@M1317_ "ΘΕΡΜΙΚΟ"
_@M1318_ "ΣΥΝΑΘΛΗΤΗΣ"
_@M1319_ "ΣΤΟΧΟΣ"
_@M1320_ "ΤΕΛΕΥΤΑΙΟ ΚΑΛΟ ΘΕΡΜΙΚΟ"
_@M1321_ "ΣΥΝΑΘΛΗΤΗΣ"
_@M1322_ "FLARM ΣΤΟΧΟΣ"

# Overlay multitarget prefixes, maximum 2chars!
_@M1323_ "T>"
_@M1324_ "B>"
_@M1325_ "1>"
_@M1326_ "2>"
_@M1327_ "H>"
_@M1328_ "L>"
_@M1329_ "M"
_@M1330_ "F>"

# LK traffic page headers, try to use the same or less number of chars here,
# or test it with different screen reolutions and landscape/portrait mode too!
_@M1331_ "TRF"
_@M1332_ "Var"
_@M1333_ "Vario"
_@M1334_ "Alt"

# Mapwindow texts
_@M1335_ " TERRAIN?"
_@M1336_ " T?"
_@M1337_ " AZM"
_@M1338_ " PAN"
_@M1339_ " iAUX"
_@M1340_ " TRM0"
_@M1341_ " NAV1"
_@M1342_ " ALT2"
_@M1343_ " STA3"
_@M1344_ " TSK4"
_@M1345_ " ATN5"
_@M1346_ " SYS6"
_@M1347_ " CRU7"
_@M1348_ " FIN8"
_@M1349_ " AUX9"
_@M1350_ " REPLAY"
_@M1351_ " BALLAST"

# LKUtils
_@M1352_ "ΕΠΙΠΕΔΟ ΜΠΑΤΑΡΙΑΣ"
_@M1353_ "ΔΙΑΧΕΙΡΗΣΗ ΜΠΑΡΑΡΙΑΣ ΑΠΕΝΕΡΓΟΠΟΙΗΜΕΝΗ"
_@M1354_ "ΕΠΙΠΕΔΟ ΜΠΑΤΑΡΙΑΣ ΚΡΙΣΙΜΟ!"
_@M1355_ "ΕΠΙΠΕΔΟ ΜΠΑΤΑΡΙΑΣ ΠΟΛΥ ΧΑΜΗΛΟ!"
_@M1356_ "ΕΠΙΠΕΔΟ ΜΠΑΤΑΡΙΑΣ ΧΑΜΗΛΟ!"
_@M1357_ "ΠΡΟΕΙΔΟΠΟΙΗΣΕΙΣ ΜΠΑΤΑΡΙΑΣ ΑΠΕΝΕΡΓΟΠΟΙΗΜΕΝΕΣ"

# Logger task declaration
_@M1400_ "Δήλωση διαδρομής"
_@M1401_ "Ενεργοποίηση επιλογής δήλωσης"
_@M1402_ "Απενεργοποίηση επιλογής δήλωσης"
_@M1403_ "Αποστολή δήλωσης"
_@M1404_ "Έναρξη σύνδεσης"
_@M1405_ "Δοκιμή σύνδεσης"
_@M1406_ "Λήξη σύνδεσης"
_@M1410_ "Άγνωστο Σφάλμα"
_@M1411_ "Η Συσκευή δεν έχει συνδεθεί!"
_@M1412_ "Όχι αρκετά σημεία!"
_@M1413_ "Πάρα πολλά σημεία!"
_@M1414_ "Η συσκευή δεν αποκρίνεται!"
_@M1415_ "Η δήλωση δεν έγινε αποδεκτή"
_@M1420_ "Σφάλμα κατά την δήλωση"
_@M1421_ "Περιγραφή διαδρομής"
_@M1422_ "Έναρξη και Τερματισμός"

_@M1423_ "Απαγορευμένο κατά την πτήση!"

#
# Variometer Bar
#
_@M1424_ "VarioBar mode"
_@M1425_ "Vario στο θερμικό και πορεία"
_@M1426_ "Vario στο θερμικό, Netto στη πορεία"
_@M1427_ "Vario στο θερμικό, STF στη πορεία"

#
# Contests
#
_@M1450_ "Αγώνας"
_@M1451_ "Αλλαγή"
_@M1452_ "Εντοπισμός ΕΝΑΡΞΗ ΕΛΕΥΘΕΡΗΣ ΠΤΗΣΗΣ"

#
# Contest infoboxes, full name and abbreviated name for boxes
# We need OLC ahead of full names, to keep ordering in infobox list during configuration
#
# League predicted is not used
#
_@M1455_ "OLC Κλασσική Απόσταση"
_@M1456_ "OLC dis"
_@M1457_ "OLC FAI Απόσταση Τριγώνου"
_@M1458_ "FAI dis"
_@M1459_ "OLC Λίγκα Απόστασης"
_@M1460_ "LEA dis"
_@M1461_ "OLC FAI Απόσταση 3ως TPs"
_@M1462_ "3TP dis"

_@M1463_ "OLC Κλασσική*Προβλεπόμενη Απόσταση"
_@M1464_ "OLC*dis"
_@M1465_ "OLC FAI Τρίγωνο*Προβλεπόμενη Απόσταση"
_@M1466_ "FAI*dis"
_@M1467_ "OLC Λίγκα*Προβλεπόμενη Απόσταση"
_@M1468_ "LEA*dis"
_@M1469_ "OLC FAI 3 TPs*Προβλεπόμενη Απόσταση"
_@M1470_ "3TP*dis"

_@M1471_ "OLC Κλασσικό Ταχύτητας"
_@M1472_ "OLC spd"
_@M1473_ "OLC FAI Τρίγωνο Ταχύτητας"
_@M1474_ "FAI spd"
_@M1475_ "OLC Λίγκα Ταχύτητας"
_@M1476_ "LEA spd"
_@M1477_ "OLC FAI 3 TPs Ταχύτητας"
_@M1478_ "3TP spd"

_@M1479_ "OLC Κλασσική*Προβλεπόμενη Ταχύτητα"
_@M1480_ "OLC*spd"
_@M1481_ "OLC FAI Τρίγωνο*Προβλεπόμενη Ταχύτητα"
_@M1482_ "FAI*spd"
_@M1483_ "OLC Λίγκα*Προβλεπόμενη Ταχύτητα"
_@M1484_ "LEA*spd"
_@M1485_ "OLC FAI 3 TPs*Προβλεπόμενη Ταχύτητα"
_@M1486_ "3TP*spd"

_@M1487_ "OLC Κλασσικό Αποτέλεσμα"
_@M1488_ "OLC scr"
_@M1489_ "OLC FAI Τρίγωνο Αποστέλεσμα"
_@M1490_ "FAI scr"
_@M1491_ "OLC Λίγκα Αποστέλεσμα"
_@M1492_ "LEA scr"
_@M1493_ "OLC FAI 3 TPs Αποστέλεσμα"
_@M1494_ "3TP scr"

_@M1495_ "OLC Κλασσικό*Προβλεπόμενο Αποτέλεσμα"
_@M1496_ "OLC*scr"
_@M1497_ "OLC FAI Τρίγωνο*Προβλεπόμενο Αποτέλεσμα"
_@M1498_ "FAI*scr"
_@M1499_ "OLC Λίγκα*Προβλεπόμενο Αποτέλεσμα"
_@M1500_ "LEA*scr"
_@M1501_ "OLC FAI 3 TPs*Προβλεπόμενο Αποτέλεσμα"
_@M1502_ "3TP*scr"

_@M1503_ "OLC Plus Αποστέλεσμα"
_@M1504_ "PLS scr"
_@M1505_ "OLC Plus*Προβλεπόμενο Αποτέλεσμα"
_@M1506_ "PLS*scr"

_@M1507_ "OLC FAI τρίγωνο Απόσταση για να κλείσει"
_@M1508_ "C:"
_@M1509_ "OLC FAI τρίγωνο % Απόσταση για να κλείση"
_@M1510_ "%C:"
_@M1511_ "B:"
# #############################
# NEW 2.4 messages
# #############################

# Device name for "no device"
_@M1600_ "ΑΠΕΝΕΡΓΟΠΟΙΗΣΗ"
# Ex-963, new message for screen unlock
_@M1601_ "Διπλό-Πάτημα στην Κάτω-Δεξιά Γωνία για να ΞΕΚΛΙΔΩΣΕΙ"

# Config system menu page 
_@M1602_ "Διαμόρφωση Κάτω Μπάρας"
_@M1603_ "Διαμόρφωση Δεδομένων"
_@M1604_ "Διαμόρφωση xxxx"
_@M1605_ "Κάτω Μπάρα"
_@M1606_ "Σελίδες Δεδομένων"
_@M1607_ "Διαμόρφωση Κάτω Μπάρας Αποθηκεύτηκε"
_@M1608_ "Διαμόρφωση Δεδομένων Αποθηκεύτηκε"

# Config InfoPages
_@M1610_ "1.1 Cruise "
_@M1611_ "1.2 Thermal "
_@M1612_ "1.3 Task "
_@M1613_ "1.4 Custom "
_@M1614_ "1.5 Contest "
_@M1615_ "1.6 Turn "
_@M1616_ "2.1 APT "
_@M1617_ "2.2 LND "
_@M1618_ "2.3 TPS "
_@M1619_ "2.4 ASP "
_@M1620_ "3.1 COMN "
_@M1621_ "3.2 HIST "
_@M1622_ "3.3 THERM "

# New airspace messages
_@M1630_ "Όριο Ύψους"

# Navboxes
_@M1640_ "Current Flaps"
_@M1641_ "Flaps"

# Header nearest Airspaces
_@M1642_ "ASP"

_@M1643_ "ΕΝΕΡΓΟΠΟΙΗΣΗ"

_@M1644_ "Ύψος Άφιξης Απογείωσης"
_@M1645_ "HomeArr"

# Menu Config 15, Alarms
_@M1646_ "15 Συναγερμοί"
_@M1647_ "Max Υψόμετρο 1 "
_@M1648_ "Max Υψόμετρο 2 "
_@M1649_ "Max Υψόμετρο 3 "

# "ALARM x ALTITUDE 1234"   warning message
_@M1650_ "ΣΥΝΑΓΕΡΜΟΣ"
_@M1651_ "ΥΨΟΜΕΤΡΟ"

# customkey for airspace analysis
_@M1652_ "Ανάλυση Εναέριου Χώρου"
_@M1653_ "Πλήκτρο Χάρτη<>Σελίδα πληροφοριών Εναέριου Χώρου"

# Airspace details buttons
_@M1654_ "ΕΠΙΛΟΓΗ"
_@M1655_ "ΑΝΑΛΥΣΗ"
_@M1656_ "*ΑΠΟΡΡΙΨΗ*"

# customkeys zoom 
_@M1657_ "Zoom In"
_@M1658_ "Zoom Out"
_@M1659_ "Zoom In More"
_@M1660_ "Zoom Out More"

# Active map indicator in map scale (with AZM, NAV1 etc.), 3 letters!
_@M1661_ "ACT"

# Error message
_@M1662_ "ΣΦΑΛΜΑ ΣΥΣΤΗΜΑΤΟΣ"
_@M1663_ "ΑΝΕΠΑΡΚΗ ΜΝΗΜΗ"

# Total energy configuration 
# Toggle is for customkey config
_@M1666_ "Πήκτρο TotalEnergy"
_@M1667_ "TOTAL ENERGY IN USE!"
_@M1668_ "TOTAL ENERGY OFF"
_@M1669_ "Use TotalEnergy "

# Header Thermal History keep short!
_@M1670_ "THR"
# average lift 
_@M1671_ "ThAvg"
_@M1672_ "Thermal Details"
_@M1673_ "Avg"

# Auto MC configuration
_@M1674_ "Auto Mc "
# Menu buttons MacCready, keep very short! - F C E are the overlay indicators
# Fin Th Equ  are fron button shortcuts, max 3 letters!
_@M1675_ "Final"
_@M1676_ "F"
_@M1677_ "ThAll"
_@M1678_ "T"
_@M1679_ "Equiv"
_@M1680_ "E"
_@M1681_ "Fin"
_@M1682_ "Th"
_@M1683_ "Eq"
# Change 118 average climb with average thermal
_@M1684_ "Μ.Ο. Θερμικού (Th.All)"
# Change 148 with 1685
_@M1685_ "Both Final+Average"

# Optimized routes for paraglider
_@M1686_ "Βελτιστοποίηση διαδρομής "
_@M1687_ "Πλήκτρο Βελτιστοποίησης Διαδρομής"

# Customkey name
_@M1688_ "Κλείδωμα Οθόνης"
_@M1689_ "Oracle"

# ORACLE
_@M1690_ "Το LK8000 ORACLE"
_@M1691_ "Το ORACLE ΣΚΕΦΤΕΤΑΙ"
_@M1692_ "ΠΑΡΑΚΑΛΩ ΠΕΡΙΜΕΝΕΤΕ..."

# Customkey
_@M1693_ "Αλλαγή+ Χρώματα Εδάφους"

# Safety Altitude indicator on overlay
_@M1694_ "+ ΑΣΦΑΛΕΙΑ"

#infobox Logger status
_@M1695_ "Καταγραφέας"
# max 3-4 chars!
_@M1696_ "auto"

# PG autozoom threshold on config page 23
_@M1697_ "Autozoom threshold "

#Multitarget bearing infobox
_@M1698_ "Multitarget Διόπτευση"
_@M1699_ "BrgMtg"

# Logger status
_@M1700_ "ON"
_@M1701_ "no"

# dialogs for The Oracle
_@M1702_ "Το ORACLE ΘΕΛΕΙ ΣΗΜΑ GPS"
_@M1703_ "Βόρεια"
_@M1704_ "Βορειο-Ανατολικά"
_@M1705_ "Ανατολικά"
_@M1706_ "Νοτιο-Ανατολικά"
_@M1707_ "Νότια"
_@M1708_ "Νοτιο-Δυτικά"
_@M1709_ "Δυτικά"
_@M1710_ "Βόρειο-Δυτικά"
# 3km south-west of ..
_@M1711_ "από"
_@M1712_ "κοντά"
_@M1713_ "προς"
_@M1714_ "στην Πόλη"
# 2km Νότια από την πόλη
_@M1715_ "από την Πόλη"
_@M1716_ "πρός την Πόλη"
# over the city and (lake)
_@M1717_ "και"
# 2km south of city , over (lake)
_@M1718_ "προς"
_@M1719_ "κοντά σε"
# grass airport, small airport
_@M1720_ "ο αεροδιάδρομος του"
# outlanding field, not an airport/airfield
_@M1721_ "το πεδίο του"
_@M1722_ "το αεροδρόμιο του"
_@M1723_ "Κοντά σε"
_@M1724_ "Η ΘΕΣΗ ΣΟΥ:"
_@M1725_ "ΛΥΠΑΜΑΙ"
_@M1726_ "Η ΘΕΣΗ ΣΟΥ ΕΙΝΑΙ ΑΓΝΩΣΤΗ!"
# 1727-1739 reserved for The Oracle
_@M1740_ "Ανάλυση OLC "
_@M1741_ "ΕΠΑΝΑΦΟΡΑ ΤΩΝ ΠΡΟΦΙΛ ΤΟΥ LK8000!"
_@M1742_ "AGL:"
_@M1743_ "ELV:"
# this was the old V rough air. Leave a trailing space!
_@M1744_ "Max Ταχύτητα "
# new startup profile buttons
_@M1745_ "ΑΕΡΟΣΚΑΦΟΣ"
_@M1746_ "ΣΥΣΤΗΜΑ"
# new button caption on task overview dialog, appears only in PG/HG mode
_@M1747_ "Time Gates"
_@M1748_ "Ημερολόγιο"
_@M1749_ "Το Αρχείο δεν βρέθηκε"
_@M1750_ "Κενό"
_@M1751_ "ΕΠΙΒΕΒΑΙΩΣΗ ΕΠΑΝΑΦΟΡΑΣ ΗΜΕΡΟΛΟΓΙΟΥ?"
_@M1752_ "ΕΠΑΝΑΦΟΡΑ ΗΜΕΡΟΛΟΓΙΟΥ"
_@M1753_ "Λίστα πτήσεων"
_@M1754_ "Έναρξη Ελέυθερης Πτήσης"
_@M1755_ "Αερορυμούλκηση"
_@M1756_ "ΠΙΛΟΤΟΣ"
_@M1757_ "ΕΠΑΝΑΦΟΡΑ ΠΡΟΦΙΛ LK8000"
_@M1758_ "ΑΥΤΟ ΘΑ ΕΠΑΝΑΦΕΡΕΙ ΟΛΑ ΤΑ ΠΡΟΦΙΛ ΣΤΗΝ ΑΡΧΙΚΗ ΤΟΥΣ ΠΡΟΕΠΙΛΟΓΗ"
_@M1759_ "ΕΠΙΛΕΧΤΗΚΕ ΣΤΟ ΣΥΣΤΗΜΑ"

#
# These are new infoboxes:
_@M1761_ "Εναλλακτική1 διόπτευση"
_@M1762_ "Εναλλακτική2 διόπτευση"
_@M1763_ "ΚαλύτερηΕναλλακτική διόπτευση"
_@M1764_ "Εναλλακτική1 απόσταση"
_@M1765_ "Εναλλακτική2 απόσταση"
_@M1766_ "ΚαλύτερηΕναλλακτική απόσταση"
_@M1767_ "Max επιτυνχανόμενο Υψόμετρο"
_@M1768_ "MaxAlt"
_@M1769_ "Max κερδισμένο Υψόμετρο"
_@M1770_ "Hgain"
_@M1771_ "Ταχύτητα Κυρίως Αέρα"
_@M1772_ "HdWind"
# Customkey
_@M1774_ "Αλλαγή- Χρώματα Εδάφους"

# New AverEfficiency intervals
_@M1775_ "3 δευτερόλεπτα"
_@M1776_ "5 δευτερόλεπτα"
_@M1777_ "10 δευτερόλεπτα"
_@M1778_ "45 δευτερόλεπτα"

# New livetracker configuration
_@M1779_ "Live tracker log interval "
_@M1780_ "ID Χρήστη"
_@M1781_ "Κωδικός"
_@M1782_ "LT Server"

# configuration SETUP save 
_@M1783_ "Προφίλ Αεροσκαφών"
_@M1784_ "Προφίλ Πιλότου"
# page names
_@M1785_ "Διαμόρφωση Προφίλ Πιλότου"
_@M1786_ "Διαμόρφωση Προφίλ Αεροσκάφους"

# Page names in configuration
_@M1787_ "Συνήθεις Κατάλογος"
_@M1788_ "Διαμόρφωση Κατάλογου"

_@M1789_ "Διαγραφή αρχείου διαδρομής"
_@M1790_ "Δεν βρέθηκε αρχείο διαδρομής για διαγραφή"

# Customkey configuration item
_@M1791_ "Arm toggle advance"

# configuration PG/Hg specials
_@M1792_ "Γρήγορες Κινήσεις"

# Wind mode configuration, "External" (from external instrument)
_@M1793_ "Εξωτερικά όργανα"

# Safety takeoff alarm
_@M1794_ "Ασφάλεια Απογείωσης"

# Replacing 120, 755 and 756
_@M1795_ "ΥΨΟΣ BARO ΕΙΝΑΙ ΔΙΑΘΕΣΙΜΗ"
_@M1796_ "ΧΡΗΣΗ ΥΨΟΣ BARO"

# Replacing 822
_@M1797_ "Φορέας"

_@M1798_ "Arm TPs"
_@M1799_ "Stop moving!"

_@M1800_ "Δεν υπάρχει ίχνος"
_@M1801_ "Ίχνος ανόδου"
_@M1802_ "Ίχνος ανόδου/καθόδου"
_@M1803_ "Κατεύθυνση Επάνω"
_@M1804_ "Κατεύθυνση Δεξιά"
_@M1805_ "Γραμή+ΕπόμενοWP"
_@M1806_ "Σκιά+ΕπόμενοWP"
_@M1807_ "_Reserved 2"
_@M1808_ "Φόρτωση βάσης δεδομένων FLARMNET"

# Trip computer, Infobox title, max 6-7 chars
_@M1809_ "Κίνηση"
_@M1810_ "Σταθερό"
_@M1811_ "Συνολικό"
_@M1812_ "Chrono"

# New virtual waypoints
_@M1813_ "FAI CLOSE"
_@M1814_ "ΕΛΕΥΘΕΡΗ ΠΤΗΣΗ"
# 1815 can be changed anytime, do not reuse!
_@M1815_ "ΑΧΡΗΣΙΜΟΠΟΙΗΤΟ"
_@M1816_ "FAI σημείο κλεισίματος"
_@M1817_ "out and return σημείο κλεισίματος"

# profile button, keep short!
_@M1818_ "ΣΥΣΚΕΥΗ"
# configuration SETUP save 
_@M1819_ "Προφίλ Συσκευής"
# page name
_@M1820_ "Διαμόρφωση Συσκευής"
# Bottom bar configuration button
_@M1821_ "AUTO"
_@M1822_ "Διαμόρφωση Multimaps"
// leave a space after Ack
_@M1823_ "Group Ack "

############################################################
#                  - MENU MESSAGES - 
#
#             DO NOT REMOVE OR CHANGE \n  
#       it means New Line, for line splitting!!
#
############################################################

_@M2001_ "Zoom\nin"
_@M2002_ "Zoom\nout"
_@M2003_ "Πλησιέστερο\nΣημείο"
_@M2004_ "Pan\n"
_@M2005_ "Πλήρης\nΟθόνη"
_@M2006_ "Οθόνη\n1/3"
_@M2007_ "Οθόνη\n2/3"
_@M2008_ "Οθόνη\n3/3"
_@M2009_ "Zoom"
_@M2010_ "Nav\n1/3"
_@M2011_ "Άκυρο"
_@M2012_ "Πίσω"
_@M2013_ "Υπολογισμός\nΔιαδρομής"
_@M2014_ "Προχωρημένα\n"
_@M2015_ "Αναζήτηση\nΣημείων"
_@M2016_ "Nav\n2/3"
_@M2017_ "Αλλαγή\nΔιαδρομής"
_@M2018_ "Διαγραφή\nΔιαδρομής"
_@M2019_ "Επανεκκίνηση\nΔιαδρομής"
_@M2020_ "Στόχος"
_@M2021_ "Κωδικός\nΟμάδας"
_@M2022_ "Nav\n3/3"
_@M2023_ "Reserv"
_@M2024_ "Χρόνος\nΠύλης"
_@M2025_ "Multi\nTarget"
_@M2026_ "Στοιχεία"
_@M2027_ "Τοπογραφία"
_@M2028_ "Έδαφος"
_@M2029_ "Εναέριος\nΧώρος"
_@M2030_ "VisualGld"
_@M2031_ "Θερμικό"
_@M2032_ "Πορεία"
_@M2033_ "Τελική Πορεία"
_@M2034_ "Auto"
_@M2035_ "Γραμμή"
_@M2036_ "Αντιστροφή\nΚειμένου"
_@M2037_ "Topo\nΠίσω"
_@M2038_ "Προσ/μος\nΧάρτη"
_@M2039_ "Διαμόρφ\n1/3"
_@M2040_ "Διαμόρφ\n2/3"
_@M2041_ "Διαμορφ\n3/3"
_@M2042_ "Βασική\nΕγκατάσταση"
_@M2043_ "Εγκατάσταση\nΑνέμου"
_@M2044_ "ActivMap"
_@M2045_ "Nav by"
#2046 UNUSED
_@M2046_ ""
_@M2047_ "Διαγραφή\nΣημείων"
_@M2048_ "Καταγραφέας"
_@M2049_ "Επανάληψη\nΚαταγραφής"
_@M2050_ "NMEA\nLogger"
_@M2051_ "Εγκατάσταση"
_@M2052_ "Zero\nQFE"
_@M2053_ "Επαναφορά\nComms"
_@M2054_ "Προφιλ"
_@M2055_ "Ήχοι"
_@M2056_ "Info\n1/2"
_@M2057_ "Info\n2/2"
_@M2058_ "Oracle"
_@M2059_ "Κοντινότερο\nΣημείο"
_@M2060_ "Κοντινότερος\nΕναέριος"
_@M2061_ "Θέση"
_@M2062_ "Ανάλυση"
_@M2063_ "Σημειώσεις"
_@M2064_ "Επανάληψη\nΜηνύματος"
_@M2065_ "Orbiter"
_@M2066_ "Nav"
_@M2067_ "Πληροφ\nοριες"
_@M2068_ "Διαμο\nρφωση"
_@M2069_ "Οθόνη"
_@M2070_ "Σημείο\nΤοποθεσίας"
_@M2071_ "TrueWind\nCalc"
_@M2072_ "Επιλογές\nΟθόνης"
_@M2073_ "'Εξοδος"
_@M2074_ "SIM\nMENU"
_@M2075_ "Therm"
_@M2076_ "Equiv"
_@M2077_ "Manual"
_@M2078_ "OK"
_@M2079_ "Επικαλύψεις"
_@M2080_ "Σκίαση"
_@M2081_ "Set\nMap"
_@M2082_ "PAN"
_@M2083_ "North\nUp"
_@M2084_ "Track\nUp"
_@M2085_ "North\ncircle"
_@M2086_ "Target\ncircle"
_@M2087_ "North\nSmart"
_@M2088_ "ΕΠΑΝ/ΝΗΣΗ"
_@M2089_ "Χαμηλότερο"
_@M2090_ "Default"
_@M2091_ "Averag"
_@M2092_ "Highest"
_@M2093_ "ON"
_@M2094_ "OFF"
_@M2095_ "Normal\nALL ON"
_@M2096_ "Led+Buz\nALL OFF"
_@M2097_ "Led OFF\nBuz ON"
_@M2098_ "Led ON\nBuz OFF"
_@M2099_ "<< Αριστ"
_@M2100_ "ΕΠΑΝΩ"
_@M2101_ "Κέντρο\nΠροεπιλογή"
_@M2102_ "ΚΑΤΩ"
_@M2103_ "Δεξιά >>"
_@M2104_ "F>\nFlarm"
_@M2105_ "M>\nTeam"
_@M2106_ "L>\nThermal"
_@M2107_ "T>\nTask"
_@M2108_ "B>\nBestAlt"
_@M2109_ "1>\nAltern1"
_@M2110_ "2>\nAltern2"
_@M2111_ "H>\nHome"
_@M2112_ "Speed"
_@M2113_ "Alt"
_@M2114_ "Turn"
# better not to translate this TE button!
_@M2115_ "TEnergy"
_@M2116_ "Αλλαγή\nΕδάφους"
# Auto MC thermal+final glide mode, keep max 7 chars!
_@M2117_ "Thr+Fin"
_@M2118_ "Ημερολόγιο"
_@M2119_ "Λεπτομέρειες\nΗμερολογίου"
_@M2120_ "Επαν/φορα\nΒιβλίου"
_@M2121_ "Λίστα\nΗμερολογίου"
_@M2122_ "Αποθήκευση\nΣυστήματος"
_@M2123_ "Περιστροφή\nΟθόνης"
_@M2124_ "Λειτουργίες\nΟθόνης"
_@M2125_ "Εγκατ/ση\nΑεροσκάφους"
_@M2126_ "Αποθήκευση\nΑεροσκάφους"
_@M2127_ "Εγκατ/ση\nΠιλότου"
_@M2128_ "Αποθήκευση\nΠιλότου"
_@M2129_ "Εγκατ/ση\nLK8000"
_@M2130_ "Εγκατ/ση\nΣυστήματος"
_@M2131_ "Custom\nΚατάλογος"
_@M2132_ "Ακύρωση\nΕναλλακτικών"

_@M2133_ "Θέση"

_@M2134_ "Dev A"
_@M2135_ "Dev B"
_@M2136_ "Rotate C-Probe 360° around it's 3 axis\nthe order and direction is not important"

_@M2143_ "Εγκατάσταση Συσκευής A"
_@M2144_ "Εγκατάσταση Συσκευής B"


# Paraglider Waypoint Type
_@M2145_ "Εισοδος"
_@M2146_ "Εξοδος"
_@M2147_ "Εξοδος/Εισοδος"

_@M2148_ "Αυτοκίνητο,Ποδήλατο & Trekking"

# Thermal Bar
_@M2149_ "Σε Θερμικό"
_@M2150_ "Σε Θερμικό και Πορεία"

# New CustomKey labels for Custom Menu
_@M2200_ "----"
_@M2201_ "Κατάλογος"
_@M2202_ "Σελίδα\nΠίσω"
_@M2203_ "Πλήκτρο\nΧάρτη"
_@M2204_ "Πλήκτρο\nΠροσγ/σημα"
_@M2205_ "Προσγειώσημα"
_@M2206_ "Πλήκτρο\nΚοινά"
_@M2207_ "Κοινά"
_@M2208_ "Πλήκτρο\nΚυκλοφ/ρια"
_@M2209_ "Κυκλοφορία"
_@M2210_ "Auto\nZoom"
_@M2211_ "Ήχος\nΘερμικού"
_@M2212_ "Goto\nHome"
_@M2213_ "Zoom\nOut20"
_@M2214_ "Multi\nTarg+"
_@M2215_ "Χρήση\nHBAR"
_@M2216_ "SIM\nMENU"
_@M2217_ "Airsp\nAnalys"
_@M2218_ "Πλήκτρο\nΕναερΧωρ"
_@M2219_ "Zoom\nin++"
_@M2220_ "Zoom\nout++"
_@M2221_ "Route\nOptim"
_@M2222_ "OLC\nAnalys"
_@M2223_ "Χρώμα+\nεδάφους"
_@M2224_ "Χρώμα-\nεδάφους"
_@M2225_ "Ελευθ/ρη\nΠτήση"
_@M2226_ "Arm\nToggle"
_@M2227_ "Πλήκτρο\nWndRose"
_@M2228_ "FLARM\nRadar"
_@M2229_ "Επαν/ρα\nΟδόμετρου"
_@M2230_ "Force\nLanded"
_@M2231_ "ΕΝΕΡΓΟ"
# 2232 unused but reserved for mmaps
_@M2232_ "abcd"
_@M2233_ "Επικάλυψη"
_@M2234_ "ΚΕΙΜΕΝΟ"
_@M2235_ "GAUGES"
_@M2236_ "Επαναφ\nΔιαδρομής"
_@M2237_ "Πλήκτρο\nSonar"
_@M2238_ "Σχέδιο\nΔιαδρομής"
_@M2239_ "Σχέδιο\nFAI"
_@M2240_ "NoDraw\nTaskFAI"
_@M2241_ "Σχεδίαδη\nΔιαδρομήςFAI"
_@M2242_ "Sonar\nON"
_@M2243_ "Sonar\nOFF"
_@M2244_ "Εγκατ/ση\nΣυσκευής"
_@M2245_ "Αποθ/κευση\nΣυσκευής"

# MAX 2250! 
# (Reserved for custom menus up to 2300!)
# Note for developers: remember LKLanguage MAX_MESSAGE limit (2250)

# TODO - Translate new tokens below, according to the localized manual, if available
