# LK8000 ENGLISH MESSAGES - ENG_MSG.TXT
# MASTER UPDATED:  101216
#
# This file is loaded on startup and all messages are stored internally.
# If you are translating these messages, try to respect sizes.
# The first _@Mn_  are the indexes, and you cannot change them!
#
# Please note that ENG_MSG.TXT is the english master language for LK8000
# and it should always exist. Do not change ENG_MSG.TXT.
#
# All lines that are empty, or starting with a 
# , are ignored.

# DEVELOPERS ADDING MESSAGES HERE SHOULD REQUEST A NUMBERING SLOT TO PAOLO





_@M1_ " Разлика"
_@M1505_ "OLC Plus*Predviđen rezultat"
_@M1506_ "PLS*Rez"

_@M1507_ "OLC FAI triangle Distance to close"
_@M1508_ "C:"
_@M1509_ "OLC FAI triangle Distance close %"
_@M1510_ "%C:"
_@M1511_ "B:"
# #############################
# NEW 2.4 messages
# #############################

# Device name for "no device"
_@M1600_ "НЕДОСТУПАН"
# Ex-963, new message for screen unlock
_@M1601_ "Двоклик на Доњи-Десни угао за ОТКЉУЧАВАЊЕ"

# Config system menu page 
_@M1602_ "Подешав. ДОЊЕГ панела"
_@M1603_ "Подешав. ИНФО странице"
_@M1604_ "Подешавање xxxx"
_@M1605_ "Доњи панел"
_@M1606_ "ИНФО страница"
_@M1607_ "Подешавање ДОЊЕГ панеа СНИМЉЕНО"
_@M1608_ "Подешавање ИНФО странице СНИМЉЕНО"

# Config InfoPages
_@M1610_ "1.1Крстар. "
_@M1611_ "1.2Термал "
_@M1612_ "1.3Задатак "
_@M1613_ "1.4Изборни "
_@M1614_ "1.5Такмич. "
_@M1615_ "1.6Окрет "
_@M1616_ "2.1APT "
_@M1617_ "2.2LND "
_@M1618_ "2.3TPS "
_@M1619_ "2.4ASP "
_@M1620_ "3.1COMN "
_@M1621_ "3.2HIST "
_@M1622_ "3.3Термал "
_@M1623_ "1.7HSI "

# New airspace messages
_@M1630_ "Ивица висине "

# Navboxes
_@M1640_ "Current Flaps"
_@M1641_ "Flaps"

# Header nearest Airspaces
_@M1642_ "ASP"

_@M1643_ "ENABLED"

_@M1644_ "Home Alt.Arrival"
_@M1645_ "HomeArr"

# Menu Config 15, Alarms
_@M1646_ "15 Alarms"
_@M1647_ "Mакс.Висина 1 "
_@M1648_ "Maкс.Висина 2 "
_@M1649_ "Makс.Висина 3 "

# "ALARM x ALTITUDE 1234"   warning message
_@M1650_ "АЛАРМ"
_@M1651_ "ВИСИНА"

# customkey for airspace analysis
_@M1652_ "Анализа Ваздуш.Простора"
_@M1653_ "Искључи мапу<>Инфо страница Вазд.Прос."

# Airspace details buttons
_@M1654_ "ОЗНАЧИТИ"
_@M1655_ "АНАЛИЗА"
_@M1656_ "*ОДЗНАЧИТИ*"

# customkeys zoom 
_@M1657_ "Увећај"
_@M1658_ "Умањи"
_@M1659_ "Увећај ЈОШ"
_@M1660_ "Умањи ЈОШ"

# Active map indicator in map scale (with AZM, NAV1 etc.), 3 letters!
_@M1661_ "ACT"

# Error message
_@M1662_ "ГРЕШКА У СИСТЕМУ"
_@M1663_ "НЕМА ВИШЕ МЕМОРИЈЕ"

# Total energy configuration 
# Toggle is for customkey config
_@M1666_ "Пребаци на УКУПНУ ЕНРГИЈУ"
_@M1667_ "УКУПНА ЕНЕРГИЈА СЕ КОРИСТИ!"
_@M1668_ "УКУПНА ЕНЕРГИЈА СЕ НЕ КОРИСТИ"
_@M1669_ "Користи укупну енерг. "

# Header Thermal History keep short!
_@M1670_ "TЕР"
# average lift 
_@M1671_ "ТерПрос"
_@M1672_ "Детаљи термала"
_@M1673_ "Просе"

# Auto MC configuration
_@M1674_ "Aутом Mc "
# Menu buttons MacCready, keep very short! - F C E are the overlay indicators
# Fin Th Equ  are fron button shortcuts, max 3 letters!
_@M1675_ "Final"
_@M1676_ "F"
_@M1677_ "ThAll"
_@M1678_ "T"
_@M1679_ "Equiv"
_@M1680_ "E"
_@M1681_ "Fin"
_@M1682_ "Th"
_@M1683_ "Eq"
# Change 118 average climb with average thermal
_@M1684_ "Average thermal (Th.All)"
# Change 148 with 1685
_@M1685_ "Both Final+Average"

# Optimized routes for paraglider
_@M1686_ "Optimized route "
_@M1687_ "Optimized route toggle"

# Customkey name
_@M1688_ "Екран ЗАКЉУЧАН"
_@M1689_ "Oracle"

# ORACLE
_@M1690_ "THE LK8000 ORACLE"
_@M1691_ "THE ORACLE IS THINKING"
_@M1692_ "PLEASE WAIT..."

# Customkey
_@M1693_ "Change+ Terrain Colors"

# Safety Altitude indicator on overlay
_@M1694_ "+ SAFETY"

#infobox Logger status
_@M1695_ "Лет.Днв"
# max 3-4 chars!
_@M1696_ "аутом"

# PG autozoom threshold on config page 23
_@M1697_ "Праг аутоматског+ "

#Multitarget bearing infobox
_@M1698_ "Multitarget Bearing"
_@M1699_ "BrgMtg"

# Logger status
_@M1700_ "УКЉ"
_@M1701_ "ИСК"

# dialogs for The Oracle
_@M1702_ "ORACLE WANTS GPS FIX"
_@M1703_ "North"
_@M1704_ "North-East"
_@M1705_ "East"
_@M1706_ "South-East"
_@M1707_ "South"
_@M1708_ "South-West"
_@M1709_ "West"
_@M1710_ "North-West"
# 3km south-west of ..
_@M1711_ "of"
_@M1712_ "Near"
_@M1713_ "Over"
_@M1714_ "the city"
# 2km South of the city
_@M1715_ "of the city"
_@M1716_ "Over the city"
# over the city and (lake)
_@M1717_ "and"
# 2km south of city , over (lake)
_@M1718_ "over"
_@M1719_ "near to"
# grass airport, small airport
_@M1720_ "the airfield of"
# outlanding field, not an airport/airfield
_@M1721_ "the field of"
_@M1722_ "the airport of"
_@M1723_ "Near to"
_@M1724_ "YOUR POSITION:"
_@M1725_ "VERY SORRY"
_@M1726_ "YOUR POSITION IS UNKNOWN!"
# 1727-1739 reserved for The Oracle
_@M1740_ "OLC analysis"
_@M1741_ "FULL RESET LK8000 PROFILES!"
_@M1742_ "AGL:"
_@M1743_ "ELV:"
# this was the old V rough air. Leave a trailing space!
_@M1744_ "Макс.Брзина "
# new startup profile buttons
_@M1745_ "ВАЗДУХОПЛ."
_@M1746_ "ТЛК СИСТЕМ"
# new button caption on task overview dialog, appears only in PG/HG mode
_@M1747_ "Време капије"
_@M1748_ "Летач.Дневник"
_@M1749_ "Фајл није пронађен"
_@M1750_ "Празан"
_@M1751_ "ПОТВРДИТЕ БРИСАЊЕ ЛЕТАЧКОГ ДНЕВНИКА?"
_@M1752_ "ЛЕТАЧКИ ДНЕВНИК ПОЧИЊЕ ОД 0"
_@M1753_ "Листа летова"
_@M1754_ "Старт слободног лет-а"
_@M1755_ "Towing"
_@M1756_ "ПИЛОТ"
_@M1757_ "LK8000 РЕСЕТ ПРОФИЛА"
_@M1758_ "ОВО ЋЕ СВЕ ПРОГИЛЕ ПОСТАВИТИ НА ФАБРИЧКЕ ВРЕДНОСТИ :("
_@M1759_ "СЕЛЕКТОВАНО У СИСТЕМ"

#
# These are new infoboxes:
_@M1761_ "Alternate1 bearing"
_@M1762_ "Alternate2 bearing"
_@M1763_ "BestAlternate bearing"
_@M1764_ "Alternate1 distance"
_@M1765_ "Alternate2 distance"
_@M1766_ "BestAlternate distance"
_@M1767_ "Max Altitude reached"
_@M1768_ "MaxAlt"
_@M1769_ "Max Height gained"
_@M1770_ "Hgain"
_@M1771_ "Head Wind speed"
_@M1772_ "HdWind"
# Customkey
_@M1774_ "Change- Terrain Colors"

# New AverEfficiency intervals
_@M1775_ "3 секунде"
_@M1776_ "5 секунди"
_@M1777_ "10 секунди"
_@M1778_ "45 секунди"

# New livetracker configuration
_@M1779_ "Live tracker log interval "
_@M1780_ "User"
_@M1781_ "Password"
_@M1782_ "LT Server"

# configuration SETUP save 
_@M1783_ "Профил ваздухоплова"
_@M1784_ "Профил пилот-а"
# page names
_@M1785_ "Подешавање пилота"
_@M1786_ "Подешавање ваздухоплова"

# Page names in configuration
_@M1787_ "Изборни мени"
_@M1788_ "Подешав. изборног менија"

_@M1789_ "Брисање фајла задатка"
_@M1790_ "Нема фајла задатка за брисање"

# Customkey configuration item
_@M1791_ "Arm toggle advance"

# configuration PG/Hg specials
_@M1792_ "Quick gestures "

# Wind mode configuration, "External" (from external instrument)
_@M1793_ "Спољни"

# Safety takeoff alarm
_@M1794_ "Безбедно полетање "

# Replacing 120, 755 and 756
_@M1795_ "ВИСИНА ПО ПРИТИСКУ ЈЕ ДОСТУПНА"
_@M1796_ "КОРИСТИ СЕ ВИСИНА ПО ПРИТИСКУ"

# Replacing 822
_@M1797_ "Вектор"

_@M1798_ "Arm TPs"
_@M1799_ "Прекид помењања!"

_@M1800_ "без трага"
_@M1801_ "траг термала"
_@M1802_ "траг термала/пропадања"
_@M1803_ "Head Up"
_@M1804_ "Head Right"
_@M1805_ "Line+NextWP"
_@M1806_ "Shade+NextWP"
_@M1807_ "_Reserved 2"
_@M1808_ "Loading FLARMNET database"

# Trip computer, Infobox title, max 6-7 chars
_@M1809_ "Померање"
_@M1810_ "Мирно"
_@M1811_ "Укупно"
_@M1812_ "Chrono"

# New virtual waypoints
_@M1813_ "FAI ЗАТВОРЕНО"
_@M1814_ "СЛОБОДАН ЛЕТ"
# 1815 can be changed anytime, do not reuse!
_@M1815_ "НЕ КОРИСТИ СЕ"
_@M1816_ "FAI тачка затварања"
_@M1817_ "излаз и врађање тачке затварања"

# profile button, keep short!
_@M1818_ "УРЕЂАЈ"
# configuration SETUP save 
_@M1819_ "Профил Уређаја"
# page name
_@M1820_ "Подешавање Уређаја"
# Bottom bar configuration button
_@M1821_ "Аутом"
_@M1822_ "Подешав. Multimaps"
// leave a space after Ack
_@M1823_ "Group Ack "

// Task buttons (keep SHORT text!)
_@M1824_ "Убаци као СТАРТ"
_@M1825_ "Убаци после"
_@M1826_ "Замени"
_@M1827_ "Додај пре краја"
_@M1828_ "Додај после краја"

# Gear warning alarm
_@M1829_ "Упозорење опреме "
_@M1830_ "Висинско упозорење опреме"
_@M1831_ "ИСКЉ."
_@M1832_ "Near landables"
_@M1833_ "Увек"
_@M1834_ "Провери опрему !"

# oudie 2 bluetooth
_@M1835_ "Failed to pair device"
_@M1836_ "Lookup"
_@M1837_ "Pair"
_@M1838_ "Unpair"

_@M1840_ "BestAlternate:"
#infobox
_@M1841_ "Alternate1 radial"
_@M1842_ "Alternate2 radial"

# Reverse task
_@M1850_ "Reverse\nTask"
_@M1851_ "Reverse task"
_@M1852_ "Reverse task?"
_@M1853_ "TASK REVERSED"

# HSI
_@M1860_ "HSI"

_@M1870_ "Airspace Sonar "
_@M1871_ "Terminal"
_@M1872_ "НЕМА ПРИЈЕМА ПОДАТАКА"

# Menu 12 font edit
_@M1880_ "Тачке мапе "
_@M1881_ "Мапа топологије "
_@M1882_ "Најближа "
_@M1883_ "ДОЊИ панел "
_@M1884_ "Тип преклапања "
_@M1885_ "Инфо у 2 линије "
_@M1886_ "Циљ преклапања "
_@M1887_ "Вредности преклапања "
_@M1888_ "VisualGlide "

_@M1891_ "Горњи леви "
_@M1892_ "Горњи централни "
_@M1893_ "Горњи десни "
_@M1894_ "Десни врх "
_@M1895_ "Десни централни "
_@M1896_ "Десни доњи "
_@M1897_ "Леви врх "
_@M1898_ "Леви централни "
_@M1899_ "Леви доњи "
_@M1900_ "Леви угао "
_@M1901_ "ГАШЕЊЕ"

############################################################
#                  - MENU MESSAGES - 
#
#             DO NOT REMOVE OR CHANGE \n  
#       it means New Line, for line splitting!!
#
############################################################

_@M2001_ "ПОВЕЋАЊЕ"
_@M2002_ "УМАЊЕЊЕ"
_@M2003_ "Whats\nhere?"
_@M2004_ "Пан\n"
_@M2005_ "Пун\nЕкран"
_@M2006_ "Екран\n1/3"
_@M2007_ "Eкран\n2/3"
_@M2008_ "Ekран\n3/3"
_@M2009_ "Повећање"
_@M2010_ "Задатак\n1/3"
_@M2011_ "Прекини\nмени"
_@M2012_ "Назад"
_@M2013_ "ДИГИТР.\nЗадатка"
_@M2014_ "Напредно\n"
_@M2015_ "Погледај\nTачку"
_@M2016_ "Задатак\n2/3"
_@M2017_ "Промена\nЗадатка"
_@M2018_ "Брисање\nЗадатка"
_@M2019_ "Ресет.\nЗадатка"
_@M2020_ "Циљ"
_@M2021_ "Тимски\nКод"
_@M2022_ "Задатак\n3/3"
_@M2023_ "Резервисано"
_@M2024_ "Време\nКапије"
_@M2025_ "Вишест.\nЦиљ"
_@M2026_ "Етикета"
_@M2027_ "Топологија"
_@M2028_ "Терен"
_@M2029_ "Ваз.Прос."
_@M2030_ "VisualGld"
_@M2031_ "ТЕРМАЛ"
_@M2032_ "ЈЕДРЕЊЕ"
_@M2033_ "Final"
_@M2034_ "Ауто"
_@M2035_ "Путања"
_@M2036_ "Инверзни\nTeкст"
_@M2037_ "Топол.\nНазад"
_@M2038_ "Орјентац.\nМапе"
_@M2039_ "Подешав.\n1/3"
_@M2040_ "Подешав.\n2/3"
_@M2041_ "Подешав.\n3/3"
_@M2042_ "Основна\nПодешав."
_@M2043_ "Подешав.\nВЕТРА"
_@M2044_ "Активна Мапа"
_@M2045_ "Nav by"
#2046 UNUSED
_@M2046_ ""
_@M2047_ "Обриши\nMaркер"
_@M2048_ "Лет.Днев."
_@M2049_ "Реприза\nЛета"
_@M2050_ "NMEA\nLogger"
_@M2051_ "Подешав."
_@M2052_ "0 за\nQFE"
_@M2053_ "Ресетов.\nComms"
_@M2054_ "Профили"
_@M2055_ "Звуци"
_@M2056_ "Инфо\n1/2"
_@M2057_ "Инфо\n2/2"
_@M2058_ "Oracle"
_@M2059_ "Најближа\nTачка"
_@M2060_ "Најближ.\nВазд.Прост."
_@M2061_ "Статус"
_@M2062_ "Анализа"
_@M2063_ "БЕЛЕШКЕ"
_@M2064_ "Понављ.\nПоруке"
_@M2065_ "Orbiter"
_@M2066_ "Такмича.\nзадатак"
_@M2067_ "Инфо"
_@M2068_ "Подешав."
_@M2069_ "Eкран"
_@M2070_ "Упиши\nMaркер"
_@M2071_ "TrueWind\nДИГИТР."
_@M2072_ "Преглед\nEkран"
_@M2073_ "ГАШЕЊЕ"
_@M2074_ "СИМУЛ.\nМЕНИ"
_@M2075_ "Tермал"
_@M2076_ "Eквивалент"
_@M2077_ "Ручно"
_@M2078_ "OK"
_@M2079_ "Прекидач"
_@M2080_ "Сенчење"
_@M2081_ "Подешав.\nMапе"
_@M2082_ "ПАН мод"
_@M2083_ "Север\nГоре"
_@M2084_ "Запис\nГоре"
_@M2085_ "Север\nКружење"
_@M2086_ "Циљ\nKружење"
_@M2087_ "Паметни\nСевер"
_@M2088_ "ПОН-ПОКРЕТАЊЕ"
_@M2089_ "Најнижи"
_@M2090_ "Подразумевани"
_@M2091_ "Просек"
_@M2092_ "Највиши"
_@M2093_ "УКЉУ."
_@M2094_ "ИСКЉ."
_@M2095_ "Нормлно\nСВЕ УКЉУ."
_@M2096_ "Led+Buz\nСВЕ ИСКЉ."
_@M2097_ "Led ИСКЉ.\nBuz УКЉУ."
_@M2098_ "Led ИСКЉ.\nBuz УКЉУ."
_@M2099_ "<< Лево"
_@M2100_ "ГОРЕ"
_@M2101_ "Подразум.\nЦентар"
_@M2102_ "ДОЛЕ"
_@M2103_ "ДЕСНО >>"
_@M2104_ "F>\nFlarm"
_@M2105_ "M>\nТим
_@M2106_ "L>\nTeрмал"
_@M2107_ "T>\nЗадатак"
_@M2108_ "B>\nНајб.Вис."
_@M2109_ "1>\nAltern1"
_@M2110_ "2>\nAltern2"
_@M2111_ "H>\nКућа"
_@M2112_ "Брзина"
_@M2113_ "Висина"
_@M2114_ "Окрет"
# better not to translate this TE button!
_@M2115_ "TEnergy"
_@M2116_ "Change\nTerrain"
# Auto MC thermal+final glide mode, keep max 7 chars!
_@M2117_ "Thr+Fin"
_@M2118_ "Летачки\nДневник"
_@M2119_ "Детаљи\nЛет.Днев."
_@M2120_ "Сторнир.\nЛет.Днев."
_@M2121_ "Листа\nЛет.Дневн"
_@M2122_ "Снимање\nСистема"
_@M2123_ "Окретање\nЕкрана"
_@M2124_ "Модели\nЕкрана"
_@M2125_ "Подешав.\nВаздухоп."
_@M2126_ "Снимање\nВаздухоп."
_@M2127_ "Подешав.\nПилота"
_@M2128_ "Снимање\nПилота"
_@M2129_ "LK8000\nПодешав."
_@M2130_ "Подешав.\nСистема"
_@M2131_ "ИЗБОРНИ\nМЕНИ"
_@M2132_ "Брисање\nАлтерн."

_@M2133_ "Позиција"

_@M2134_ "УређајA"
_@M2135_ "УређајB"
_@M2136_ "Rotate C-Probe 360° around it's 3 axis\nthe order and direction is not important"

_@M2143_ "Подешав. Уређ.A"
_@M2144_ "Подешав. Уређ.B"


# Paraglider Waypoint Type
_@M2145_ "Улазак"
_@M2146_ "Излаз"
_@M2147_ "Излазак/Улазак"

_@M2148_ "Auto, Bicikala & Pešačenje"

# Thermal Bar
_@M2149_ "у термалу"
_@M2150_ "у термалу и крстарењу"

_@M2151_ "T>\nTP Центар"
_@M2153_ "Затварање стартног времена"

_@M2154_ "IGC\nПошаљи"
_@M2155_ "Пошаљи"
_@M2156_ "IGC Пошаљи фајл"
_@M2157_ "Изабери уређај"

#BlueFlyVario
_@M2158_ "Output QNH"
_@M2159_ "Lift Threshold"
_@M2160_ "Lift Off Threshold"
_@M2161_ "Sink Threshold"
_@M2162_ "Sink Off Threshold"
_@M2163_ "Position Noise"
_@M2164_ "Lift Freq. Base"
_@M2165_ "Lift Freq. Increment"
_@M2166_ "Sink Freq. Base"
_@M2167_ "Sink Freq. Increment"
_@M2168_ "Volume"
_@M2169_ "Rate Multiplier"
_@M2170_ "Audio Connected"
_@M2171_ "Audio Disconnected"
_@M2172_ "Bluetooth Wait"
_@M2173_ "Output Mode"
_@M2174_ "Output Frequency"

_@M2175_ "Conical ESS"
_@M2176_ "Cone Slope"
_@M2177_ "Base Altitude"
_@M2178_ "Base Radius"
_@M2179_ "°"
_@M2180_ "°C"
_@M2181_ "°F"
_@M2182_ "«"
_@M2183_ "»"
_@M2184_ "‹"
_@M2185_ "›"
_@M2186_ "*"
_@M2187_ "Speed Opt."
_@M2188_ "Thermal Min"

# New CustomKey labels for Custom Menu
_@M2200_ "----"
_@M2201_ "Мени"
_@M2202_ "Стрелица\nНазад"
_@M2203_ "Искључи\nМапу"
_@M2204_ "Искључи\nТачкеЗе"
_@M2205_ "Landab\nles"
_@M2206_ "Искључи\nCommon"
_@M2207_ "Commons"
_@M2208_ "Искључи\nСаобраћај"
_@M2209_ "Саобраћај"
_@M2210_ "Аутом.\nПовећање"
_@M2211_ "Звук\nТермала"
_@M2212_ "ИДИ\nКУЋИ"
_@M2213_ "Умањи\n20"
_@M2214_ "Вишестр.\nЦиљ+"
_@M2215_ "Користи\nВисБаро"
_@M2216_ "СИМУЛ.\nМЕНИ"
_@M2217_ "Ваз.Прос.\nАнализа"
_@M2218_ "Искључи\nВаз.Прос."
_@M2219_ "Увећање\n++"
_@M2220_ "Смањење\no++"
_@M2221_ "Оптимиз.\nРуте"
_@M2222_ "OLC\nАнализа"
_@M2223_ "Боја+\nтерена"
_@M2224_ "Боја-\nтерена"
_@M2225_ "Слободан\nЛет"
_@M2226_ "Arm\nИскључи"
_@M2227_ "Искључи\nWndRose"
_@M2228_ "FLARM\nRadar"
_@M2229_ "Ресетов.\nПређ.Пут"
_@M2230_ "Насилно\nСлетање"
_@M2231_ "АКТИВНО"
_@M2232_ "abcd"
_@M2233_ "Overlay"
_@M2234_ "TEXT"
_@M2235_ "GAUGES"
_@M2236_ "Ресетов.\nИзлета"
_@M2237_ "Sonar\nИскључи"
_@M2238_ "Нацртај\nЗадатак"
_@M2239_ "Нацртај\nFAI"
_@M2240_ "Без Цртањ.\nЗад.FAI"
_@M2241_ "Цртај\nЗад.FAI"
_@M2242_ "Sonar\nУКЉУ."
_@M2243_ "Sonar\nИСКЉУ."
_@M2244_ "Подешав.\nУређаја"
_@M2245_ "Снимање\nУређаја"
_@M2246_ "Ресет\nПогледа"
_@M2247_ "28/45 FAI threshold "
_@M2248_  "Нису пронађени ОБЈЕКТИ у близини!"

# DO NOT TRANSLATE 2249
_@M2249_  "DspMode"

_@M2250_ "Спољни Звук"
_@M2251_  "Оптимални\nмод"


# MAX 2500! 
# (Reserved for custom menus up to 2300!)
# Note for developers: remember LKLanguage MAX_MESSAGE limit (2500)

# S = Start Task point
_@M2301  "S" 
# T = Task Point
_@M2302_  "T"  
# F = Finish point
_@M2303_  "F" 
_@M2304_  "УПОЗОРЕЗЕ ОПРЕМЕ ИСКЉУЧЕНО!" 
_@M2305_  "Снимање - уживо"

_@M2306_  "Подешав.\nРадио стa."
_@M2307_  "Подеш.Радио станице"
_@M2308_  "Фрекфренција"
_@M2309_  "РАДИО"
_@M2310_  "ЈАЧ"
_@M2311_  "Sqw"
